username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
focuson2016;2017-07-07 23:42;0;0;"$ ORCL Check out this site! #InvestorsHangout $ TTRAF $ ACKRF $ RPMGF $ BONU $ FMGXF http:// dlvr.it/PT2xt6";;;#InvestorsHangout;"883531734758731776";https://twitter.com/focuson2016/status/883531734758731776
TraderNado;2017-07-07 21:49;0;0;"http:// bit.ly/1VvJJhE Free Trial Alerts from Jason Bond! He has made $200k in profits this yr!! $ FLXN $ FLEX $ ORCL $ FB";;;;"883503215865544704";https://twitter.com/TraderNado/status/883503215865544704
CashyStocks;2017-07-07 21:05;0;0;"http:// smq.tc/2aA7a8H < 5 Basic Lessons on Technical Analysis from Investors Live.. $ CELG $ HOLX $ ORCL";;;;"883492200415346689";https://twitter.com/CashyStocks/status/883492200415346689
FinInvTr;2017-07-07 19:58;0;0;"The Market's Top Monopolies $ MSFT $ ORCL $ CRM $ QCOM $ TSLA http:// buff.ly/2sQRiX8";;;;"883475343587364865";https://twitter.com/FinInvTr/status/883475343587364865
JorelLaraKalel;2017-07-07 18:39;0;1;"Cramer: Oracle's stock proves why it's smart to 'buy the dips' $ ORCL @oracle http:// cnb.cx/2sWyAxH $ NKE @nike";;@oracle @nike;;"883455465098752002";https://twitter.com/JorelLaraKalel/status/883455465098752002
storminvestor;2017-07-07 17:57;0;0;"Oracle Corporation $ ORCL Director Bruce R. Chizen Sells 206,250 Shares http:// ift.tt/2uTM7Hw";;;;"883444932605857793";https://twitter.com/storminvestor/status/883444932605857793
SPNewsAnalysis;2017-07-07 17:52;0;0;"Oracle Corporation $ ORCL Director Bruce R. Chizen Sells 206,250 Shares http:// ift.tt/2sWkIDz";;;;"883443618308136960";https://twitter.com/SPNewsAnalysis/status/883443618308136960
TrackerLed;2017-07-07 17:39;0;0;"http:// smq.tc/1VvJJhE << Stock Trading Watch List/Chat/Educational Alerts *FREE TRIAL. $ IBM $ ORCL $ ADBE";;;;"883440303436218369";https://twitter.com/TrackerLed/status/883440303436218369
SwingTradeBot;2017-07-07 17:23;0;0;"Scan results - Bullish Engulfing today: $ SNN $ IRBT $ SKM $ HFC $ TMUS $ PETS $ ORCL $ IMAX $ FCPT $ WING ... https:// swingtradebot.com/events/13/equi ties?selected_date=2017-07-07 …";;;;"883436244109275136";https://twitter.com/SwingTradeBot/status/883436244109275136
joncoleman212;2017-07-07 17:18;0;0;"$ RMD $ PFG $ ORCL This Watch List tells you about all stocks trading with catalysts and volume URL: http:// bit.ly/2ujRNdu pic.twitter.com/WxhjNFdGyI";;;;"883434969376464896";https://twitter.com/joncoleman212/status/883434969376464896
intercooleronli;2017-07-07 17:11;0;0;"Oracle Corporation $ ORCL Director Bruce R. Chizen Sells 206,250 Shares http:// ift.tt/2sWupl7";;;;"883433348680605697";https://twitter.com/intercooleronli/status/883433348680605697
midetimes;2017-07-07 17:07;0;0;"Oracle Corporation $ ORCL Director Bruce R. Chizen Sells 206,250 Shares http:// ift.tt/2u0WmgR";;;;"883432347831611392";https://twitter.com/midetimes/status/883432347831611392
TheMarketsDaily;2017-07-07 16:29;0;0;"Oracle Corporation $ ORCL Shares Sold by Sentinel Trust Co. LBA http:// zpr.io/PdQTa";;;;"883422769458925569";https://twitter.com/TheMarketsDaily/status/883422769458925569
InsiderAlertsIA;2017-07-07 15:28;0;0;"$ ORCL : New Insider Filing on Director BRUCE R CHIZEN: http:// insideri.com/1341439_000112 760217023350_0001127602-17-023350 …";;;;"883407311246475264";https://twitter.com/InsiderAlertsIA/status/883407311246475264
ExactOptionPick;2017-07-07 15:01;0;0;"Don't miss our next FREE OPTION TRADE. Sign up for our Daily Free Trades at http:// ow.ly/1QWB30dqfzO $ NVDA $ TSLA $ GS $ ORCL $ BAC $ GOOGL $ FB";;;;"883400500481110016";https://twitter.com/ExactOptionPick/status/883400500481110016
newswithvalue;2017-07-07 14:50;0;0;"$ ORCL : How Oracle Corp. Shares Gained 10.5% in June: http://www. StockNewsWires.com/orcl-how-oracl e-corp-shares-gained-10-5-in-june/ …";;;;"883397726485921793";https://twitter.com/newswithvalue/status/883397726485921793
