username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1MinuteStock;2017-07-08 02:03;0;0;"Not sure what to do with $ PCLN ? Explore our #fundamental pros and cons. https:// unicornbay.com/t/PCLN.US?utm_ medium=tweet&utm_campaign=notsureproscons&utm_source=twitter …";;;#fundamental;"883567080104009728";https://twitter.com/1MinuteStock/status/883567080104009728
1MinuteStock;2017-07-08 01:38;0;0;"We calculated 63-day Expected Return of $ PCLN for you: 8.87% https:// unicornbay.com/t/PCLN.US?utm_ medium=tweet&utm_campaign=expreturn&utm_source=twitter …";;;;"883560787616219140";https://twitter.com/1MinuteStock/status/883560787616219140
StockStat_us;2017-07-08 00:44;0;0;"Research yous success http://www. stockstat.us $ PCLN $ SGEN $ PIXY $ OCUL $ IMMU $ PAHC $ HQY $ PSTG $ OA $ MCC $ DJIA #invest #stocks #investing";;;#invest #stocks #investing;"883547391009447937";https://twitter.com/StockStat_us/status/883547391009447937
ExactOptionPick;2017-07-08 00:00;0;0;"Don't miss our next FREE OPTION TRADE. Sign up for our Daily Free Trades at http:// ow.ly/vC0X30dsmR8 $ NVDA $ TSLA $ GS $ PCLN $ BAC $ GOOGL $ FB";;;;"883536168595464196";https://twitter.com/ExactOptionPick/status/883536168595464196
1MinuteStock;2017-07-07 23:24;0;0;"Do you know that #Book Value for $ PCLN is $219.82 https:// unicornbay.com/t/PCLN.US?utm_ medium=tweet&utm_campaign=bookvalue&utm_source=twitter …";;;#Book;"883527066645180420";https://twitter.com/1MinuteStock/status/883527066645180420
investalert;2017-07-07 22:54;0;0;"$ PCLN on fire after just crossing above its upper Bollinger Band http:// bit.ly/1TdpiWQ #PCLN";;;#PCLN;"883519636410597377";https://twitter.com/investalert/status/883519636410597377
1MinuteStock;2017-07-07 22:48;0;0;"Wondering about risks of $ PCLN ? The 63-day volatility is 9.52% https:// unicornbay.com/t/PCLN.US?utm_ medium=tweet&utm_campaign=volatility&utm_source=twitter …";;;;"883518007984533505";https://twitter.com/1MinuteStock/status/883518007984533505
Barchart;2017-07-07 22:30;2;2;"Today's #Stock #Market Leaders by Price Volume $ TSLA $ AAPL $ NVDA $ FB $ GOOGL $ GOOG $ BAC $ PCLN See Full List https://www. barchart.com/stocks/most-ac tive/price-volume-leaders … pic.twitter.com/OWG9Z0r9fq";;;#Stock #Market;"883513468904554497";https://twitter.com/Barchart/status/883513468904554497
optioncharts;2017-07-07 21:56;0;0;"$ PCLN high open interest range is 1800.00 to 1900.00 for option expiration 07/14/2017. http:// bit.ly/2uwBquW pic.twitter.com/hifiQI5weR";;;;"883505074454093825";https://twitter.com/optioncharts/status/883505074454093825
1MinuteStock;2017-07-07 21:55;0;0;"Wondering about risks of $ PCLN ? The 21-day volatility is 5.5% https:// unicornbay.com/t/PCLN.US?utm_ medium=tweet&utm_campaign=volatility&utm_source=twitter …";;;;"883504667694481409";https://twitter.com/1MinuteStock/status/883504667694481409
SuchHandsomeMan;2017-07-07 21:14;0;0;"I guess middlemen like $ PCLN & $ EXPE dont need to exist then either? Their mktg costs havent been scaling for a long time";;;;"883494586127142912";https://twitter.com/SuchHandsomeMan/status/883494586127142912
StockSuccess83;2017-07-07 21:07;0;0;"http:// smq.tc/1LlBEKl Becoming a self-made millionaire from stocks is definitely achievable.$KNDI $ ESI $ PCLN";;;;"883492670353489920";https://twitter.com/StockSuccess83/status/883492670353489920
optionbag;2017-07-07 20:44;1;2;"Anyone catch the $ PCLN 30 bagger today????????Nice";;;;"883486907711279104";https://twitter.com/optionbag/status/883486907711279104
BrexxyTrader;2017-07-07 20:00;0;0;"http:// bit.ly/1VvJJhE Jason Bond Picks is the real deal. Try his alerts free trial!! $ GIS $ PCLN $ WOR";;;;"883475966013472769";https://twitter.com/BrexxyTrader/status/883475966013472769
