username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
emq_news;2017-07-08 04:19;0;0;"Pepsico, Inc. $ PEP Shares Bought by Waldron LP http:// ift.tt/2uV3c3R";;;;"883601417629569024";https://twitter.com/emq_news/status/883601417629569024
TickerReport;2017-07-08 04:17;0;0;"Pepsico, Inc. $ PEP Shares Bought by Waldron LP http:// ift.tt/2uV3c3R";;;;"883600859375992833";https://twitter.com/TickerReport/status/883600859375992833
TickerReport;2017-07-08 04:17;0;0;"Pepsico, Inc. $ PEP Shares Bought by Waldron LP http:// ift.tt/2tTce4G";;;;"883600859069898752";https://twitter.com/TickerReport/status/883600859069898752
dailypoliticaln;2017-07-08 04:16;0;0;"Baxter Bros Inc. Raises Position in Pepsico, Inc. $ PEP http:// ift.tt/2uB6b2b";;;;"883600668489068545";https://twitter.com/dailypoliticaln/status/883600668489068545
midetimes;2017-07-08 04:16;0;0;"5,101 Shares in Pepsico, Inc. $ PEP Acquired by Pinnacle Advisory Group Inc. http:// ift.tt/2sRloip";;;;"883600643625275392";https://twitter.com/midetimes/status/883600643625275392
WKRBNews;2017-07-08 04:15;0;0;"Gilman Hill Asset Management LLC Decreases Position in Pepsico, Inc. $ PEP http:// ift.tt/2tAus8i";;;;"883600465602248704";https://twitter.com/WKRBNews/status/883600465602248704
ZolmaxNews;2017-07-08 04:11;0;0;"Pepsico, Inc. $ PEP Shares Sold by Aull & Monroe Investment Management Corp http:// ift.tt/2uVaEvK";;;;"883599451478253568";https://twitter.com/ZolmaxNews/status/883599451478253568
WKRBNews;2017-07-08 04:11;0;0;"Gilman Hill Asset Management LLC Decreases Position in Pepsico, Inc. $ PEP http:// ift.tt/2sQm8V3";;;;"883599339985272833";https://twitter.com/WKRBNews/status/883599339985272833
dreamasmith2836;2017-07-08 03:16;0;0;"$ NGCG IT'S GO TIME local and national retail chains ~ … $ TILE $ NXPI $ KO $ PEP $ MWW $ COST";;;;"883585504872214528";https://twitter.com/dreamasmith2836/status/883585504872214528
midetimes;2017-07-08 02:36;0;0;"Stock Traders Buy High Volume of Call Options on Pepsico $ PEP http:// ift.tt/2tWPYqe";;;;"883575417336188928";https://twitter.com/midetimes/status/883575417336188928
