username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FreeTrialStocks;2017-07-08 02:32;0;0;"http:// smq.tc/1VvJJhE Learn 2 trade stocks with Jason Bond and quit your job!!! [FREE TRIAL] $ ANAC $ PFE @jasonbondpicks";;@jasonbondpicks;;"883574436518965248";https://twitter.com/FreeTrialStocks/status/883574436518965248
VistaPResearch;2017-07-08 01:53;0;0;"@Foodpowergroup thanks for follow! See Vista Partners #InvestingForLife #Dow30 #healthcare http://www. vistapglobal.com $ HIIQ $ IBB $ JNJ $ PFE pic.twitter.com/7vn4cWknVp";;@Foodpowergroup;#InvestingForLife #Dow30 #healthcare;"883564640445136896";https://twitter.com/VistaPResearch/status/883564640445136896
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
ClintonTrader1;2017-07-07 23:18;0;0;"http:// smq.tc/2arf4Rx << Get Starting Trading for FREE try these video lessons… $ IBB $ MACK $ PFE";;;;"883525612983402496";https://twitter.com/ClintonTrader1/status/883525612983402496
MC_OptionTrades;2017-07-07 22:51;0;0;"$ PFE 04-Aug-17 ATM Implied Volatility is down -1.2%. Straddle implies a move of ±3.6%. Earnings Aug 01. http:// tinyurl.com/yc4no6qw";;;;"883518826326962176";https://twitter.com/MC_OptionTrades/status/883518826326962176
Agnel;2017-07-07 22:23;0;0;"Is This the Next Home-Run Biotech Stock? @themotleyfool #stocks $ PFE , $ GSK , $ AXON https://www. fool.com/investing/2017 /06/28/is-this-the-next-home-run-biotech-stock.aspx …";;@themotleyfool;#stocks;"883511735914819586";https://twitter.com/Agnel/status/883511735914819586
FinInvTr;2017-07-07 19:17;1;0;"Why Is Half The Dow Struggling? $ INTC $ XOM $ IBM $ JPM $ GS $ CVX $ DIS $ VZ $ PFE $ DIA http:// buff.ly/2uODqyf";;;;"883465058227040256";https://twitter.com/FinInvTr/status/883465058227040256
pharma_sector;2017-07-07 19:12;0;0;"#Pfizer Deflategate 2.0: Big-Spending Viagra and Cialis Are Pulling Out of the NFL. Read more: http:// owler.us/acZyg9 $ PFE";;;#Pfizer;"883463675280900096";https://twitter.com/pharma_sector/status/883463675280900096
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
DonnaYoungDC;2017-07-07 17:09;2;0;"Pfizer seeks second chance for leukemia drug Mylotarg, but FDA raises concerns http://www. snl.com/web/client?aut h=inherit#news/article?id=41255747&cdid=A-41255747-12332 … $ PFE #ODAC #FDA #pharma #Mylotarg";;;#news #ODAC #FDA #pharma #Mylotarg;"883432720281546753";https://twitter.com/DonnaYoungDC/status/883432720281546753
NewsToDesk;2017-07-07 16:55;0;0;"$ ALXN $ PFE : Alexion Investigation Believed to Have ‘Minimal Impact’: http://www. StockNewsWires.com/alxn-pfe-alexi on-investigation-believed-to-have-minimal-impact/ …";;;;"883429168783925249";https://twitter.com/NewsToDesk/status/883429168783925249
ITRADEVOL;2017-07-07 16:25;0;0;"Most Active After Hours Trading $ GDX $ LQD $ EEM $ BAC $ SPY $ GE $ ITB $ FCX $ EFA $ PFE $ EQT $ WFC $ MSFT $ INTC $ AAPL $ TWTR https:// marketchameleon.com/Reports/AfterH oursTrading …";;;;"883421758103179265";https://twitter.com/ITRADEVOL/status/883421758103179265
FDAadcomm;2017-07-07 15:55;0;0;"To #ODAC subscribers ($): I just emailed the Briefing Summary report for Tuesday’s FDA adcomm. Topic: Pfizer’s Mylotarg for de novo AML $ PFE";;;#ODAC;"883414160020819973";https://twitter.com/FDAadcomm/status/883414160020819973
Alps_Toronto;2017-07-07 15:41;0;0;"Bought calls on $ PFE and $ NTES Don't expect much from $ PFE";;;;"883410631130480640";https://twitter.com/Alps_Toronto/status/883410631130480640
SpeedyCalls;2017-07-07 14:22;2;1;"$ PFE 35 Calls BUYING Activity expiring on 18th Aug, Vol 5500";;;;"883390742114189313";https://twitter.com/SpeedyCalls/status/883390742114189313
pharma_sector;2017-07-07 14:18;0;0;"#Pfizer sell off on breast cancer drug news unwarranted - Nzd to usd conversion. Read more: http:// owler.us/acZuy4 $ PFE";;;#Pfizer;"883389738761179137";https://twitter.com/pharma_sector/status/883389738761179137
DonnaYoungDC;2017-07-07 13:15;0;0;"But #FDA open to hearing #ODAC opinion on whether EFS itself, as measure of CR w/ durability, is alternative to OS as clinical benefit $ PFE https:// twitter.com/DonnaYoungDC/s tatus/883373686442610689 …";;;#FDA #ODAC;"883373941443657728";https://twitter.com/DonnaYoungDC/status/883373941443657728
DonnaYoungDC;2017-07-07 13:14;0;0;"#FDA : $ PFE surrogacy analysis failed to provide strong evidence EFS is a surrogate of OS for patients being treated for AML #Mylotarg #ODAC https:// twitter.com/DonnaYoungDC/s tatus/883373301669789696 …";;;#FDA #Mylotarg #ODAC;"883373686442610689";https://twitter.com/DonnaYoungDC/status/883373686442610689
newswithvalue;2017-07-07 13:13;0;0;"$ GLYC $ PFE : FDA Issues an Approval Not Seen in Almost 20 Years: http://www. StockNewsWires.com/glyc-pfe-fda-i ssues-an-approval-not-seen-in-almost-20-years/ …";;;;"883373311094161410";https://twitter.com/newswithvalue/status/883373311094161410
DonnaYoungDC;2017-07-07 13:13;0;1;"#FDA generally requires for approval that new drug for 1st-line treatment of AML w/ curative intent demonstrates survival benefit $ PFE #ODAC https:// twitter.com/DonnaYoungDC/s tatus/883373060367294466 …";;;#FDA #ODAC;"883373301669789696";https://twitter.com/DonnaYoungDC/status/883373301669789696
DonnaYoungDC;2017-07-07 13:12;0;1;"#FDA : ALFA-701 demonstrated a treatment effect of #MYLOTARG by EFS, but no statistically significant impact on overall survival #ODAC $ PFE https:// twitter.com/DonnaYoungDC/s tatus/883371380347109376 …";;;#FDA #MYLOTARG #ODAC;"883373060367294466";https://twitter.com/DonnaYoungDC/status/883373060367294466
BetweenTraders;2017-07-07 13:04;0;0;"$ OBMP OncBioMune Pharma is Taking The Mexican & Japanese Pharma Market By Storm http://www. smallcapvault.com/news-press-rel eases/oncbiomune-pharmaceuticals-is-taking-the-mexican-japonese-pharma-market-by-storm/ … $ IBB $ GILD $ VRX $ NVS $ PFE $ JNJ $ MRK";;;;"883371241171824643";https://twitter.com/BetweenTraders/status/883371241171824643
illuminatiStock;2017-07-07 13:04;0;0;"$ OBMP OncBioMune Pharma is Taking The Mexican & Japanese Pharma Market By Storm http://www. smallcapvault.com/news-press-rel eases/oncbiomune-pharmaceuticals-is-taking-the-mexican-japonese-pharma-market-by-storm/ … $ IBB $ GILD $ VRX $ NVS $ PFE $ JNJ $ MRK";;;;"883371104458465282";https://twitter.com/illuminatiStock/status/883371104458465282
DamnGoodOptions;2017-07-07 13:04;0;0;"$ OBMP OncBioMune Pharma is Taking The Mexican & Japanese Pharma Market By Storm http://www. smallcapvault.com/news-press-rel eases/oncbiomune-pharmaceuticals-is-taking-the-mexican-japonese-pharma-market-by-storm/ … $ IBB $ GILD $ VRX $ NVS $ PFE $ JNJ $ MRK";;;;"883371042621853696";https://twitter.com/DamnGoodOptions/status/883371042621853696
