username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SwingTradeBot;2017-07-07 17:28;0;0;"Scan results - MACD Bearish Signal Line Cross today: $ CXP $ SCSS $ USG $ FRGI $ TSCO $ PUMP $ APA $ ABX $ MIC $ PKG ... https:// swingtradebot.com/events/65/equi ties?selected_date=2017-07-07 …";;;;"883437529420222464";https://twitter.com/SwingTradeBot/status/883437529420222464
SwingTradeBot;2017-07-07 17:26;0;0;"Scan results - 1,2,3 Pullback Bullish today: $ IART $ TPRE $ SNE $ Z $ SCHN $ PKG $ CBI $ TPX $ NXPI $ ICE ... https:// swingtradebot.com/events/35/equi ties?selected_date=2017-07-07 …";;;;"883437016339419136";https://twitter.com/SwingTradeBot/status/883437016339419136
TheMarketsDaily;2017-07-07 16:34;0;0;"Packaging Corporation of America $ PKG Receives New Coverage from Analysts at KeyCorp http:// zpr.io/PdQN6";;;;"883423990026575872";https://twitter.com/TheMarketsDaily/status/883423990026575872
ZolmaxNews;2017-07-07 16:31;0;0;"Packaging Corporation of America $ PKG Receives New Coverage from Analysts at KeyCorp http:// ift.tt/2uTqYxe";;;;"883423300931768322";https://twitter.com/ZolmaxNews/status/883423300931768322
DozenStocks;2017-07-07 06:02;0;0;"Weekly MidCap #Stocks Performance $ ATI $ MKTX $ GEF $ NVR $ MSA $ MDP $ AMD $ UFS $ SLGN $ VLY $ PKG $ TER $ ASH $ POL more@http:// 12Stocks.com/midcap";;@http;#Stocks;"883265030774431744";https://twitter.com/DozenStocks/status/883265030774431744
intercooleronli;2017-07-06 18:21;0;0;"Critical Contrast: Graphic Packaging Holding Company $ GPK vs. Packaging Corporation of America $ PKG http:// ift.tt/2uvHF2e";;;;"883088516040798208";https://twitter.com/intercooleronli/status/883088516040798208
SleekMoneycom;2017-07-06 18:21;0;0;"Critical Contrast: Graphic Packaging Holding Company $ GPK vs. Packaging Corporation of America $ PKG http:// ift.tt/2uvPepS";;;;"883088477121806342";https://twitter.com/SleekMoneycom/status/883088477121806342
TPCMG;2017-07-06 13:13;0;0;"$ PKG : 7 open, suited signals indicate continued price increase beyond average holding times. http:// thinkingprofit.com/equity/?s=PKG";;;;"883011156822167552";https://twitter.com/TPCMG/status/883011156822167552
intercooleronli;2017-07-06 09:19;0;0;"Packaging Corporation of America $ PKG Receives New Coverage from Analysts at KeyCorp http:// ift.tt/2ttUXvW";;;;"882952145288519680";https://twitter.com/intercooleronli/status/882952145288519680
RatingsNetwork;2017-07-06 08:38;0;0;"Packaging Corporation of America initiated by KeyCorp at sector weight. http:// ift.tt/2sPFmFo $ PKG #PKG";;;#PKG;"882941738343702528";https://twitter.com/RatingsNetwork/status/882941738343702528
ITRADEVOL;2017-07-06 07:06;0;0;"$ PKG The 21-Jul-17 option ATM straddle is implying a move of ±3.6% by expiration https:// marketchameleon.com/Overview/PKG/O ptionChain/ …";;;;"882918684079136768";https://twitter.com/ITRADEVOL/status/882918684079136768
WatchlistN;2017-07-06 07:03;0;0;"BMO Capital Markets Boosts Packaging Corporation of America $ PKG Price Target to $118.00 http:// ift.tt/2uNnDzN";;;;"882917885403901952";https://twitter.com/WatchlistN/status/882917885403901952
DozenStocks;2017-07-06 06:02;0;0;"Weekly MidCap #Stocks Performance $ ATI $ MKTX $ GEF $ NVR $ MSA $ MDP $ AMD $ UFS $ SLGN $ VLY $ PKG $ TER $ ASH $ POL more@http:// 12Stocks.com/midcap";;@http;#Stocks;"882902637623951364";https://twitter.com/DozenStocks/status/882902637623951364
ITRADEVOL;2017-07-05 17:44;0;0;"Decliners in After Hours Trading $ FFIN $ YUMC $ PSMT $ JMP $ PKG $ MRK $ ONCE $ NCR $ AWH $ HTZ $ CNSL $ ODP $ CACQ $ SCO https:// marketchameleon.com/Reports/AfterH oursTrading …";;;;"882716869211410432";https://twitter.com/ITRADEVOL/status/882716869211410432
lilnickysmith;2017-07-05 16:21;0;0;"$ PKG KeyBanc negative";;;;"882695880150851585";https://twitter.com/lilnickysmith/status/882695880150851585
InsiderAlertsIA;2017-07-05 11:18;0;0;"$ PKG : New Insider Filing on SVP ROBERT P. MUNDY: http:// insideri.com/1429416_000120 919117042950_0001209191-17-042950 …";;;;"882619656934117378";https://twitter.com/InsiderAlertsIA/status/882619656934117378
pennyomegaCRWE;2017-07-05 10:56;0;0;"Highlights on $ SLGN , $ CCK , $ PKG , $ SON http:// crweworld.com/newsroom/prnew swire?rkey=20170705enUK201707057516&filter=10284 …";;;;"882614148298715137";https://twitter.com/pennyomegaCRWE/status/882614148298715137
StockTradePicks;2017-07-05 09:49;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ PTR $ PVH $ PKG $ UUUU $ IJH $ IT $ EBS $ DGP $ GMED $ ENDO";;;;"882597384601051136";https://twitter.com/StockTradePicks/status/882597384601051136
wininstocks2014;2017-07-05 09:37;0;0;"$ PKG What do you think about it? #InvestorsHangout $ NRPI $ DSNY $ LXFR $ AIRRF $ AOGC http:// dlvr.it/PSNh8Z";;;#InvestorsHangout;"882594180035301378";https://twitter.com/wininstocks2014/status/882594180035301378
FinInvTr;2017-07-05 07:53;0;0;"Holdings Of The Market's Best Dividend Fund $ WYN $ OKE $ CA $ AJG $ CINF $ IPG $ PNW $ PKG $ CCE $ CHRW $ WU $ HOG $ TSO $ LNT http:// buff.ly/2tKeAlD pic.twitter.com/FdlkgspjuQ";;;;"882567995763109890";https://twitter.com/FinInvTr/status/882567995763109890
DozenStocks;2017-07-05 06:02;0;1;"Weekly MidCap #Stocks Performance $ ATI $ MKTX $ GEF $ NVR $ MSA $ MDP $ AMD $ UFS $ SLGN $ VLY $ PKG $ TER $ ASH $ POL more@http:// 12Stocks.com/midcap";;@http;#Stocks;"882540242330308609";https://twitter.com/DozenStocks/status/882540242330308609
FinInvTr;2017-07-04 22:30;0;0;"Holdings Of The Market's Best Dividend Fund $ WYN $ OKE $ CA $ AJG $ CINF $ IPG $ PNW $ PKG $ CCE $ CHRW $ WU $ HOG $ TSO $ LNT http:// buff.ly/2sKfOcK";;;;"882426401571442688";https://twitter.com/FinInvTr/status/882426401571442688
steveo2015;2017-07-04 17:37;0;0;"$ JASNW Share your thoughts here #InvestorsHangout $ FOLB $ AG $ CNRMF $ PKG $ FBASF http:// dlvr.it/PSDb5W";;;#InvestorsHangout;"882352585516007424";https://twitter.com/steveo2015/status/882352585516007424
ZolmaxNews;2017-07-04 11:33;0;0;"Packaging Corporation of America $ PKG Receives News Impact Score of 0.48 http:// ift.tt/2ulZTTX";;;;"882261098417840129";https://twitter.com/ZolmaxNews/status/882261098417840129
SPNewsAnalysis;2017-07-04 11:19;0;0;"Packaging Corporation of America $ PKG Stock Rating Reaffirmed by BMO Capital Markets http:// ift.tt/2tIsTXV";;;;"882257561571004421";https://twitter.com/SPNewsAnalysis/status/882257561571004421
storminvestor;2017-07-04 11:17;0;0;"Packaging Corporation of America $ PKG Stock Rating Reaffirmed by BMO Capital Markets http:// ift.tt/2tduLay";;;;"882257118681845760";https://twitter.com/storminvestor/status/882257118681845760
midetimes;2017-07-04 09:21;0;0;"Packaging Corporation of America $ PKG Stock Rating Reaffirmed by BMO Capital Markets http:// ift.tt/2slYLyh";;;;"882227913495588865";https://twitter.com/midetimes/status/882227913495588865
ZolmaxNews;2017-07-04 08:43;0;0;"Gotham Asset Management LLC Sells 242,535 Shares of Packaging Corporation of America $ PKG http:// ift.tt/2tM81zU";;;;"882218303128838144";https://twitter.com/ZolmaxNews/status/882218303128838144
WarrenofWallSt;2017-07-04 08:40;0;0;"Looking for bargains? #PackagingofAmerica is available for 23% off its SP $ PKG - https:// simplywall.st/NYSE:PKG/packa ging-of-america/?utm_medium=twitter&anchor=intrinsic-value-export#intrinsic-value-export … pic.twitter.com/CMEUUsGsQC";;;#PackagingofAmerica #intrinsic;"882217457401962496";https://twitter.com/WarrenofWallSt/status/882217457401962496
lisashotstocks;2017-07-04 03:51;0;0;"$ BANX Check out this site! #InvestorsHangout $ ENGGY $ CSOL $ PKG $ HHILY $ CRARF http:// dlvr.it/PS4Zc3";;;#InvestorsHangout;"882144706494255104";https://twitter.com/lisashotstocks/status/882144706494255104
L_isaMarie;2017-07-03 16:18;0;1;"#oneliner Debian Downgrade :) for pkg in `dpkg -l | awk '/^ii/{print $2"/stretch"}'`; do apt-get install --allow-downgrades -y $ pkg ; done";;;#oneliner;"881970397914296320";https://twitter.com/L_isaMarie/status/881970397914296320
dakotafinancial;2017-07-03 15:46;0;0;"Packaging Corporation of America $ PKG Given Outperform Rating at BMO Capital Markets http:// ift.tt/2tCOktV";;;;"881962285190742017";https://twitter.com/dakotafinancial/status/881962285190742017
SleekMoneycom;2017-07-03 15:42;0;0;"Packaging Corporation of America $ PKG Given Outperform Rating at BMO Capital Markets http:// ift.tt/2tJNeNp";;;;"881961326666539008";https://twitter.com/SleekMoneycom/status/881961326666539008
TPCMG;2017-07-03 14:16;0;0;"$ PKG : 7 open, suited signals indicate continued price increase beyond average holding times. http:// thinkingprofit.com/equity/?s=PKG";;;;"881939733588430849";https://twitter.com/TPCMG/status/881939733588430849
DailyStockPlays;2017-07-03 12:12;0;0;"$ PKG Overbought http://www. dailystockplays.com/PKG-Stock-Pric e-Quote-After-Hours-Premarket-Trading.html …";;;;"881908481070157826";https://twitter.com/DailyStockPlays/status/881908481070157826
FinInvTr;2017-07-02 15:35;0;0;"Where Are Commodities In Their Cycle And How Does That Impact Relevant Names? $ EMN $ IFF $ FMC $ PKG $ SEE $ STLD $ CCK http:// buff.ly/2svZCjW pic.twitter.com/1IeXxw7366";;;;"881597120645664768";https://twitter.com/FinInvTr/status/881597120645664768
StockTradePicks;2017-07-02 15:35;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ PTR $ PVH $ PKG $ UUUU $ IJH $ IT $ EBS $ DGP $ GMED $ ENDO";;;;"881597102626877440";https://twitter.com/StockTradePicks/status/881597102626877440
FinInvTr;2017-07-02 14:44;0;0;"Where Are Commodities In Their Cycle And How Does That Impact Relevant Names? $ EMN $ IFF $ FMC $ PKG $ SEE $ STLD $ CCK -- http:// buff.ly/2ty7sd6";;;;"881584363351265283";https://twitter.com/FinInvTr/status/881584363351265283
TheMarketsDaily;2017-07-01 18:24;0;0;"Packaging Corporation of America $ PKG Receives Average Recommendation of “Hold” from Brokerages http:// zpr.io/PdzCT";;;;"881277292357537792";https://twitter.com/TheMarketsDaily/status/881277292357537792
WatchlistN;2017-07-01 12:02;0;0;"Packaging Corporation of America $ PKG Earns News Sentiment Rating of 0.46 http:// ift.tt/2scPusl";;;;"881181105407369216";https://twitter.com/WatchlistN/status/881181105407369216
dakotafinancial;2017-07-01 08:21;0;0;"Analyzing KapStone Paper and Packaging Corporation $ KS & Packaging Corporation of America $ PKG http:// ift.tt/2uv9aIw";;;;"881125555864731648";https://twitter.com/dakotafinancial/status/881125555864731648
intercooleronli;2017-07-01 08:17;0;0;"Analyzing KapStone Paper and Packaging Corporation $ KS & Packaging Corporation of America $ PKG http:// ift.tt/2uazfxk";;;;"881124712079917056";https://twitter.com/intercooleronli/status/881124712079917056
midetimes;2017-07-01 07:41;0;0;"Analyzing KapStone Paper and Packaging Corporation $ KS & Packaging Corporation of America $ PKG http:// ift.tt/2tvl60b";;;;"881115563656978432";https://twitter.com/midetimes/status/881115563656978432
finboxio;2017-06-30 15:05;0;0;"Packaging $ PKG cashflow analyses imply stock's 25% overvalued http:// ow.ly/oeuG30daUYh pic.twitter.com/kXXTmImZSp";;;;"880864808714764293";https://twitter.com/finboxio/status/880864808714764293
acommn;2017-06-30 14:54;1;0;"for pkg in $(pacman -Qq); do pacman -Qkq $ pkg ; done; #Check what packages have missing files in the FS (ArchLinux) @climagic";;@climagic;#Check;"880862177057529856";https://twitter.com/acommn/status/880862177057529856
StockJunction;2017-06-30 12:57;0;0;"Submitted article: ParcelPal #OTCbb $ PTNYF #CSE $ PKG Begins Cannabis on Demand Delivery; @ParcelPals http:// bit.ly/2spkpFD #stocks $$";;@ParcelPals;#OTCbb #CSE #stocks;"880832612020789248";https://twitter.com/StockJunction/status/880832612020789248
intercooleronli;2017-06-30 10:59;0;0;"Packaging Corporation of America $ PKG Stock Rating Reaffirmed by BMO Capital Markets http:// ift.tt/2soK8hA";;;;"880802908727644161";https://twitter.com/intercooleronli/status/880802908727644161
RatingsNetwork;2017-06-30 10:31;0;0;"Packaging Corporation of America's outperform rating reiterated at BMO Capital Markets. $118.00 PT. http:// ift.tt/2sp8iZy $ PKG #PKG";;;#PKG;"880795886305112066";https://twitter.com/RatingsNetwork/status/880795886305112066
LargeVoidBot;2017-06-30 09:40;0;1;"09:40 New 52wk Highs: $ AMRN $ AXGN $ MON $ OI $ PINC $ PKG $ STRL $ WAB $ WWW";;;;"880783145934520321";https://twitter.com/LargeVoidBot/status/880783145934520321
jneen_;2017-06-29 19:06;0;0;"git fetch $ REMOTE 'refs/tags/*:refs/tags/*' git fetch $ REMOTE --depth=1 $ TAG git tag -v $ TAG git worktree add --detach $ PKG _PATH $ TAG";;;;"880563109047422976";https://twitter.com/jneen_/status/880563109047422976
