username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
emq_news;2017-07-08 04:29;0;0;"Philip Morris International Inc $ PM Shares Bought by Genovese Burford & Brothers Wealth & Retirement Plan Manageme… http:// ift.tt/2uBAl5g";;;;"883603872270487553";https://twitter.com/emq_news/status/883603872270487553
TickerReport;2017-07-08 04:27;0;0;"Philip Morris International Inc $ PM Shares Bought by Genovese Burford & Brothers Wealth & Retirement Plan Manageme… http:// ift.tt/2tT23Ne";;;;"883603364088619008";https://twitter.com/TickerReport/status/883603364088619008
dailypoliticaln;2017-07-08 04:26;0;0;"Markel Corp Has $12,927,000 Position in Philip Morris International Inc $ PM http:// ift.tt/2tslNXi";;;;"883603176452231169";https://twitter.com/dailypoliticaln/status/883603176452231169
midetimes;2017-07-08 04:26;0;0;"Grandfield & Dodd LLC Has $1,631,000 Position in Philip Morris International Inc $ PM http:// ift.tt/2tWJFTq";;;;"883603170429218817";https://twitter.com/midetimes/status/883603170429218817
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
ZolmaxNews;2017-07-07 20:46;0;0;"Positive Press Coverage Somewhat Likely to Affect Philip Morris International $ PM Stock Price http:// ift.tt/2sPEUvL";;;;"883487383672553474";https://twitter.com/ZolmaxNews/status/883487383672553474
dailymailtimes;2017-07-07 20:36;0;0;"Positive Press Coverage Somewhat Likely to Affect Philip Morris International $ PM Stock Price http:// ift.tt/2uAwUfc";;;;"883484977501011969";https://twitter.com/dailymailtimes/status/883484977501011969
Monny_Trader;2017-07-07 19:24;0;0;"http:// smq.tc/1VvJJhE Want to be rich? A millionaire trader? Try a FREE TRIAL to JB alerts $ PM $ NAV $ ARIA";;;;"883466742718017536";https://twitter.com/Monny_Trader/status/883466742718017536
deepxdive;2017-07-07 16:22;0;0;"$ PM Philip Morris International, Inc. – Value Analysis (NYSE PM) July 7, 2017 https:// online.capitalcube.com/#!/stock/US/ex change/PM/investment-analysis … pic.twitter.com/2Imqbopksu";;;#;"883421025538629632";https://twitter.com/deepxdive/status/883421025538629632
adreaminvesting;2017-07-07 15:17;0;0;"@El_Pistolero Looks like it's correlated with the dip in the Consumer Staples ETF $ XLP . Also interest rates and job report effects $ MO $ PM";;@El_Pistolero;;"883404526434365442";https://twitter.com/adreaminvesting/status/883404526434365442
GreenMonsterah;2017-07-07 14:25;0;1;"Why these random bouts of weakness in $ PM w earnings otw I am under the impression a good quarter is otw perhaps I am wrong ...idk";;;;"883391418906980352";https://twitter.com/GreenMonsterah/status/883391418906980352
market_multiple;2017-07-07 12:14;0;2;"http:// buff.ly/2tJ1lBJ Like $ PM , $ MO is trading near all time high valuations. Unlike $ PM , it is actually growing EBITDA. pic.twitter.com/PwSeYojCWV";;;;"883358493725601796";https://twitter.com/market_multiple/status/883358493725601796
IssaKalash;2017-07-07 11:48;1;2;"Philip Morris's Future Looks Bright https:// seekingalpha.com/article/408628 2-philip-morriss-future-looks-bright?source=tweet … $ PM https:// seekingalpha.com/article/408628 2-philip-morriss-future-looks-bright …";;;;"883352146116308993";https://twitter.com/IssaKalash/status/883352146116308993
SweetPlatform;2017-07-07 11:28;0;0;"PM Top news - Jul 7th, 2017 $ PM http:// https:// goo.gl/fUU2KS";;;;"883347001529835521";https://twitter.com/SweetPlatform/status/883347001529835521
fundconsult;2017-07-07 11:24;0;2;"#Recession (not disruption) proof cons staple sector investments $ PG $ JNJ $ CL $ WHR $ KSS $ HD $ PCLN $ KHC $ PM #hedgefunds #quant #BigData pic.twitter.com/6BN8b9hhZx";;;#Recession #hedgefunds #quant #BigData;"883346047824736256";https://twitter.com/fundconsult/status/883346047824736256
storminvestor;2017-07-07 11:22;0;0;"Reviewing British American Tobacco PLC $ BTI & Philip Morris International $ PM http:// ift.tt/2tQA5So";;;;"883345547222020098";https://twitter.com/storminvestor/status/883345547222020098
SPNewsAnalysis;2017-07-07 11:22;0;0;"Reviewing British American Tobacco PLC $ BTI & Philip Morris International $ PM http:// ift.tt/2sURsNf";;;;"883345494654816264";https://twitter.com/SPNewsAnalysis/status/883345494654816264
Investing_Books;2017-07-07 11:18;0;0;"The Strategic Dividend Investor by Daniel Peris: http:// amzn.to/29DMLUG $ FE $ PM $ MET $ DUK $ WY $ QCOM";;;;"883344589666562052";https://twitter.com/Investing_Books/status/883344589666562052
emq_news;2017-07-07 11:14;0;0;"Reviewing British American Tobacco PLC $ BTI & Philip Morris International $ PM http:// ift.tt/2uyjwIv";;;;"883343543221334016";https://twitter.com/emq_news/status/883343543221334016
zenect;2017-07-07 10:36;0;2;"If you buy these stocks for the long term you’re going to lose #money . http:// bit.ly/1ZhdwMK $ VGR $ MO $ BTI $ RAI $ PM #educate";;;#money #educate;"883333933064171521";https://twitter.com/zenect/status/883333933064171521
SEEKINGALPHA_FS;2017-07-07 10:16;0;0;"Philip Morris's Future Looks Bright https:// seekingalpha.com/article/408628 2-philip-morriss-future-looks-bright?source=twitter_sa_factset … $ PM";;;;"883328827463684096";https://twitter.com/SEEKINGALPHA_FS/status/883328827463684096
SeekingAlpha;2017-07-07 10:16;0;0;"Philip Morris's Future Looks Bright https:// seekingalpha.com/article/408628 2-philip-morriss-future-looks-bright?source=feed_f … $ PM";;;;"883328824657588225";https://twitter.com/SeekingAlpha/status/883328824657588225
ahirschy31;2017-07-07 10:15;0;0;"$ VZ and $ PM had about the same p/es from '08-14; in 2013 VZ had a p/e 4 pts higher; now PM has a p/e 14 pts higher";;;;"883328702204887040";https://twitter.com/ahirschy31/status/883328702204887040
FinSentS_SP500;2017-07-07 10:05;0;0;"$ PM :US Philippines complains again to WTO over Thai cigarette trade #PHILIP MORRIS INTERNATIONAL http:// tinyurl.com/ycdfzrll #SP500";;;#PHILIP #SP500;"883326020664913920";https://twitter.com/FinSentS_SP500/status/883326020664913920
QuantchaIdeas;2017-07-07 09:39;0;0;"Price Target Alert: Trading the Zacks price target change for PHILIP MORRIS $ PM http:// ideas.quantcha.com/2017/07/07/pri ce-target-alert-trading-the-zacks-price-target-change-for-philip-morris-pm/ … pic.twitter.com/q2meFBvreA";;;;"883319656752304129";https://twitter.com/QuantchaIdeas/status/883319656752304129
TheMarketsDaily;2017-07-07 09:33;0;0;"Cadence Bank NA Increases Stake in Philip Morris International Inc $ PM http:// zpr.io/PdVmt";;;;"883318051738877953";https://twitter.com/TheMarketsDaily/status/883318051738877953
IRAMarketReport;2017-07-07 08:45;0;0;"Linscomb & Williams Inc. Acquires 1,568 Shares of Philip Morris International Inc $ PM http:// ift.tt/2toRBMF";;;;"883305973041041408";https://twitter.com/IRAMarketReport/status/883305973041041408
chaffeybreeze;2017-07-07 08:44;0;0;"Linscomb & Williams Inc. Acquires 1,568 Shares of Philip Morris International Inc $ PM http:// ift.tt/2toRBMF";;;;"883305779532574720";https://twitter.com/chaffeybreeze/status/883305779532574720
TranscriptDaily;2017-07-07 07:58;0;0;"Horseman Capital Management Ltd Invests $36.92 Million in Philip Morris International Inc $ PM http:// ift.tt/2uyi8po";;;;"883294107275341825";https://twitter.com/TranscriptDaily/status/883294107275341825
TheMarketsDaily;2017-07-07 07:56;0;0;"Philip Morris International Inc $ PM Shares Bought by Schulhoff & Co. Inc. http:// zpr.io/PdvLi";;;;"883293725694283776";https://twitter.com/TheMarketsDaily/status/883293725694283776
WatchlistN;2017-07-07 04:32;0;0;"Canada Pension Plan Investment Board Has $236.09 Million Stake in Philip Morris International Inc $ PM http:// ift.tt/2twzMJT";;;;"883242357755437056";https://twitter.com/WatchlistN/status/883242357755437056
WKRBNews;2017-07-07 04:31;0;0;"Linscomb & Williams Inc. Acquires 1,568 Shares of Philip Morris International Inc $ PM http:// ift.tt/2swA6XK";;;;"883242019497422852";https://twitter.com/WKRBNews/status/883242019497422852
