username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ZolmaxNews;2017-07-07 17:02;0;0;"PetroChina Company Limited $ PTR Downgraded by Sanford C. Bernstein to “Market Perform” http:// ift.tt/2sQ9Snr";;;;"883430931473846273";https://twitter.com/ZolmaxNews/status/883430931473846273
dakotafinancial;2017-07-07 17:01;0;0;"PetroChina Company Limited $ PTR Downgraded by Sanford C. Bernstein to “Market Perform” http:// ift.tt/2sPa729";;;;"883430830298812416";https://twitter.com/dakotafinancial/status/883430830298812416
insidermonkey;2017-07-07 12:45;0;0;"10 Largest Companies in the World by Employees $ OGZPY , $ PTR , $ WMT http://www. insidermonkey.com/blog/10-larges t-companies-in-the-world-by-employees-587696/?utm_source=Twitter&utm_medium=Social&utm_campaign=dnan …";;;;"883366401569943552";https://twitter.com/insidermonkey/status/883366401569943552
StockflareUS;2017-07-07 05:35;0;0;"$ PTR : The forecast EPS for PetroChina Company Limited (ADR) has decreased to $1.34 from $2.26 in the last week. ( https:// stockflare.com/stock/PTR )";;;;"883258112551129088";https://twitter.com/StockflareUS/status/883258112551129088
StockflareUS;2017-07-07 05:35;0;0;"$ PTR : The target price for PetroChina Company Limited (ADR) has fallen to $77.9 from $91.8 in the last week. ( https:// stockflare.com/stock/PTR )";;;;"883258055785369600";https://twitter.com/StockflareUS/status/883258055785369600
StockflareUS;2017-07-07 05:34;0;0;"$ PTR : PetroChina Company Limited (ADR) has lost a star, now a 3 star stock. ( https:// stockflare.com/stock/PTR )";;;;"883258018405781504";https://twitter.com/StockflareUS/status/883258018405781504
StockflareUS;2017-07-07 05:34;0;0;"$ PTR : The earnings of PetroChina Company Limited (ADR) are now forecast to decline. ( https:// stockflare.com/stock/PTR )";;;;"883257902781353984";https://twitter.com/StockflareUS/status/883257902781353984
StocksThatGo;2017-07-07 04:04;0;0;"ALERT: Top 10 stocks with new Upgrades are: $ BWLD $ CECE $ IMGN $ MSCC $ ORLY $ PTR !$PDS $ SLB pic.twitter.com/WrggDPh98x";;;;"883235266533531648";https://twitter.com/StocksThatGo/status/883235266533531648
SleekMoneycom;2017-07-07 03:36;0;0;"Credit Suisse Group Upgrades PetroChina Company Limited $ PTR to “Neutral” http:// ift.tt/2swsapq";;;;"883228132651802626";https://twitter.com/SleekMoneycom/status/883228132651802626
China_Stocks;2017-07-06 18:55;0;0;"ETFs with exposure to PetroChina Co., Ltd. : July 6, 2017.. http:// finance.yahoo.com/r/042cceaf-195 4-3c10-8250-d2b66c077309/etfs-with-exposure-to-petrochina-co-ltd-july-6-2017?yptr=yahoo&.tsrc=rss … $ PTR #china #stocks";;;#china #stocks;"883097217052979200";https://twitter.com/China_Stocks/status/883097217052979200
