username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dakotafinancial;2017-07-07 16:41;0;0;"Reynolds American Inc $ RAI Shares Bought by Renaissance Technologies LLC http:// ift.tt/2sz5MeU";;;;"883425829681860609";https://twitter.com/dakotafinancial/status/883425829681860609
Monny_Trader;2017-07-07 15:23;0;0;"http:// smq.tc/1VvJJhE Want to be rich? A millionaire trader? Try FREE TRIAL to JB picks!!! $ CASY $ MITK $ RAI";;;;"883406088854425600";https://twitter.com/Monny_Trader/status/883406088854425600
TheMarketsDaily;2017-07-07 13:25;0;0;"Johnson Financial Group Inc. Sells 22,330 Shares of Reynolds American Inc $ RAI http:// zpr.io/PdWzM";;;;"883376458764255235";https://twitter.com/TheMarketsDaily/status/883376458764255235
storminvestor;2017-07-07 10:57;0;1;"Caisse DE Depot ET Placement DU Quebec Has $87.39 Million Position in Reynolds American Inc $ RAI http:// ift.tt/2uyAeaG";;;;"883339308966563840";https://twitter.com/storminvestor/status/883339308966563840
zenect;2017-07-07 10:36;0;2;"If you buy these stocks for the long term you’re going to lose #money . http:// bit.ly/1ZhdwMK $ VGR $ MO $ BTI $ RAI $ PM #educate";;;#money #educate;"883333933064171521";https://twitter.com/zenect/status/883333933064171521
TheMarketsDaily;2017-07-07 10:03;0;0;"Reynolds American Inc $ RAI Shares Sold by New York State Teachers Retirement System http:// zpr.io/PdV3x";;;;"883325478442074112";https://twitter.com/TheMarketsDaily/status/883325478442074112
WatchlistN;2017-07-07 07:37;0;0;"Reynolds American Inc $ RAI Shares Sold by New York State Teachers Retirement System http:// ift.tt/2uRFC87";;;;"883288842178113536";https://twitter.com/WatchlistN/status/883288842178113536
midetimes;2017-07-07 07:16;0;0;"Caisse DE Depot ET Placement DU Quebec Has $87.39 Million Position in Reynolds American Inc $ RAI http:// ift.tt/2sx5oxO";;;;"883283569384329216";https://twitter.com/midetimes/status/883283569384329216
SleekMoneycom;2017-07-07 07:01;0;0;"UBS Group AG Has $120.19 Million Position in Reynolds American Inc $ RAI http:// ift.tt/2sx96Hy";;;;"883279891910807552";https://twitter.com/SleekMoneycom/status/883279891910807552
zenect;2017-07-07 03:00;0;0;"Is the cigarette business rotten? http:// bit.ly/1ZhdwMK $ VGR $ MO $ BTI $ RAI $ PM #educate";;;#educate;"883219245915664384";https://twitter.com/zenect/status/883219245915664384
trader_top;2017-07-06 18:04;0;0;"http:// smq.tc/1VvJJhE FREE TRIAL, OF THIS WORLD CLASS STOCK TRADERS ALERTS.. $ IEP $ RAI $ AKS";;;;"883084227050217472";https://twitter.com/trader_top/status/883084227050217472
WKRBNews;2017-07-06 14:46;0;0;"Vector Group $ VGR and Reynolds American $ RAI Financial Contrast http:// ift.tt/2uv7Oye";;;;"883034498409123841";https://twitter.com/WKRBNews/status/883034498409123841
WKRBNews;2017-07-06 14:40;0;0;"Vector Group $ VGR and Reynolds American $ RAI Financial Contrast http:// ift.tt/2uP4JZl";;;;"883032848101511168";https://twitter.com/WKRBNews/status/883032848101511168
intercooleronli;2017-07-06 14:39;0;0;"Vector Group $ VGR and Reynolds American $ RAI Financial Contrast http:// ift.tt/2tNlDdJ";;;;"883032659097776128";https://twitter.com/intercooleronli/status/883032659097776128
dakotafinancial;2017-07-06 14:37;0;0;"Vector Group $ VGR and Reynolds American $ RAI Financial Contrast http:// ift.tt/2tW7jAq";;;;"883032174764728320";https://twitter.com/dakotafinancial/status/883032174764728320
dailymailtimes;2017-07-06 14:12;0;0;"Reynolds American $ RAI Earns Daily Media Sentiment Rating of 0.15 http:// ift.tt/2tv06UH";;;;"883025801951817730";https://twitter.com/dailymailtimes/status/883025801951817730
WatchlistN;2017-07-06 13:22;0;0;"Reynolds American $ RAI Earns Daily Media Sentiment Rating of 0.15 http:// ift.tt/2tuA6sH";;;;"883013205353791488";https://twitter.com/WatchlistN/status/883013205353791488
IRAMarketReport;2017-07-06 10:55;0;0;"Botty Investors LLC Cuts Position in Reynolds American Inc $ RAI http:// ift.tt/2ttAZlb";;;;"882976281603735552";https://twitter.com/IRAMarketReport/status/882976281603735552
chaffeybreeze;2017-07-06 10:54;0;0;"Botty Investors LLC Cuts Position in Reynolds American Inc $ RAI http:// ift.tt/2ttAZlb";;;;"882976049965002753";https://twitter.com/chaffeybreeze/status/882976049965002753
SPNewsAnalysis;2017-07-06 09:54;0;0;"Reynolds American Inc $ RAI Position Boosted by Geode Capital Management LLC http:// ift.tt/2uuhNUG";;;;"882960958938853378";https://twitter.com/SPNewsAnalysis/status/882960958938853378
ZolmaxNews;2017-07-06 07:33;0;0;"Parallel Advisors LLC Purchases 537 Shares of Reynolds American Inc $ RAI http:// ift.tt/2sJEYwH";;;;"882925524955402240";https://twitter.com/ZolmaxNews/status/882925524955402240
SleekMoneycom;2017-07-06 07:32;0;0;"Dimensional Fund Advisors LP Has $131.06 Million Position in Reynolds American Inc $ RAI http:// ift.tt/2uNwz81";;;;"882925280888840192";https://twitter.com/SleekMoneycom/status/882925280888840192
WKRBNews;2017-07-06 07:25;0;0;"Botty Investors LLC Cuts Position in Reynolds American Inc $ RAI http:// ift.tt/2tUwrqX";;;;"882923406999597056";https://twitter.com/WKRBNews/status/882923406999597056
WKRBNews;2017-07-06 07:10;0;0;"Liberty Mutual Group Asset Management Inc. Has $2.94 Million Position in Reynolds American Inc $ RAI http:// ift.tt/2ssQb0H";;;;"882919619048218624";https://twitter.com/WKRBNews/status/882919619048218624
WKRBNews;2017-07-06 07:07;0;0;"Liberty Mutual Group Asset Management Inc. Has $2.94 Million Position in Reynolds American Inc $ RAI http:// ift.tt/2sJCEWK";;;;"882918887167332352";https://twitter.com/WKRBNews/status/882918887167332352
WatchlistN;2017-07-06 07:03;0;0;"Reynolds American Inc $ RAI Position Boosted by Geode Capital Management LLC http:// ift.tt/2uNjxaz";;;;"882917970921615360";https://twitter.com/WatchlistN/status/882917970921615360
focuson2016;2017-07-05 23:54;0;0;"$ RAI This is a must join site! #InvestorsHangout $ RIVVF $ CCOXF $ LSYN $ STLJF $ YRKB http:// dlvr.it/PSXn37";;;#InvestorsHangout;"882809850140401664";https://twitter.com/focuson2016/status/882809850140401664
RatingsNetwork;2017-07-05 19:50;0;0;"Want automatic email alerts for $ ARW $ OGE $ RAI $ TRN $ RDN ? Subscribe to MarketBeat Daily http:// bit.ly/arndailyw";;;;"882748542728769536";https://twitter.com/RatingsNetwork/status/882748542728769536
InsiderAlertsIA;2017-07-05 15:23;0;0;"$ RAI : New Insider Filing on Director LUC JOBIN: http:// insideri.com/1439943_000127 528317000085_0001275283-17-000085 …";;;;"882681314226339841";https://twitter.com/InsiderAlertsIA/status/882681314226339841
dakotafinancial;2017-07-05 12:08;0;0;"Reynolds American Inc $ RAI Position Reduced by Aviance Capital Partners LLC http:// ift.tt/2th5GM3";;;;"882632241364578304";https://twitter.com/dakotafinancial/status/882632241364578304
chaffeybreeze;2017-07-05 10:54;0;0;"Reynolds American Inc $ RAI Stake Reduced by Bellwether Investment Group LLC http:// ift.tt/2tM1mVC";;;;"882613687189680128";https://twitter.com/chaffeybreeze/status/882613687189680128
dakotafinancial;2017-07-05 10:52;0;0;"Vanguard Group Inc. Lowers Stake in Reynolds American Inc $ RAI http:// ift.tt/2tpGhOs";;;;"882613219134668800";https://twitter.com/dakotafinancial/status/882613219134668800
IRAMarketReport;2017-07-05 10:49;0;0;"Reynolds American Inc $ RAI Stake Reduced by Bellwether Investment Group LLC http:// ift.tt/2tM1mVC";;;;"882612389165883392";https://twitter.com/IRAMarketReport/status/882612389165883392
finboxio;2017-07-05 10:45;0;0;"While stock's at 96% of 52week high, Reynolds American Inc $ RAI valuation shows downside http:// ow.ly/i0FY30dh9QS pic.twitter.com/q32Pxf5Swt";;;;"882611329965711360";https://twitter.com/finboxio/status/882611329965711360
whotrades;2017-07-05 10:20;0;0;"What's the Future of Cigarette Stocks? http:// bit.ly/050717RAI $ RAI $ PM $ MO";;;;"882605086089900032";https://twitter.com/whotrades/status/882605086089900032
StockTradePicks;2017-07-05 09:12;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ GILD $ PSX $ COH $ BCS $ RAI $ CNQ $ JNUG $ AZO $ NNN $ MCIG";;;;"882587876378030081";https://twitter.com/StockTradePicks/status/882587876378030081
WatchlistN;2017-07-05 07:50;0;0;"Reynolds American Inc $ RAI is Marshall Wace LLP’s 3rd Largest Position http:// ift.tt/2upkZRo";;;;"882567417439932425";https://twitter.com/WatchlistN/status/882567417439932425
dailypoliticaln;2017-07-05 07:49;0;0;"Meiji Yasuda Asset Management Co Ltd. Cuts Stake in Reynolds American Inc $ RAI http:// ift.tt/2tHsx4w";;;;"882567101814321154";https://twitter.com/dailypoliticaln/status/882567101814321154
dailypoliticaln;2017-07-05 07:49;0;0;"Reynolds American Inc $ RAI Stake Reduced by Bellwether Investment Group LLC http:// ift.tt/2tI8KBP";;;;"882567097020272640";https://twitter.com/dailypoliticaln/status/882567097020272640
dailypoliticaln;2017-07-05 07:34;0;0;"Yakira Capital Management Inc. Takes Position in Reynolds American Inc $ RAI http:// ift.tt/2sLRfvS";;;;"882563278500753413";https://twitter.com/dailypoliticaln/status/882563278500753413
WatchlistN;2017-07-05 07:30;0;0;"Reynolds American Inc $ RAI Position Reduced by Aviance Capital Partners LLC http:// ift.tt/2sp9Y10";;;;"882562297893408769";https://twitter.com/WatchlistN/status/882562297893408769
FinInvTr;2017-07-05 06:05;0;0;"14 Prominent Names In Market-Leading Dividend Fund $ RAI $ KHC $ COP $ D $ SO $ BLK $ RTN $ GM $ KMB $ ADP $ OXY $ PRU $ MET $ F http:// buff.ly/2tnR8Zo pic.twitter.com/hm7rfPARdN";;;;"882540823027609600";https://twitter.com/FinInvTr/status/882540823027609600
FinInvTr;2017-07-04 21:59;0;0;"14 Prominent Names In Market-Leading Dividend Fund $ RAI $ KHC $ COP $ D $ SO $ BLK $ RTN $ GM $ KMB $ ADP $ OXY $ PRU $ MET $ F http:// buff.ly/2sDZLBW";;;;"882418523238215680";https://twitter.com/FinInvTr/status/882418523238215680
Monny_Trader;2017-07-04 18:24;0;0;"http:// smq.tc/1VvJJhE Want to be rich? A millionaire trader? Try FREE TRIAL to JB picks!!! $ CASY $ MITK $ RAI";;;;"882364436102619136";https://twitter.com/Monny_Trader/status/882364436102619136
StockTipRobot;2017-07-04 17:13;0;0;"Plugged into the #NASDAQ computers. You should pump and dump Reynolds American Inc $ RAI #trading";;;#NASDAQ #trading;"882346635216531456";https://twitter.com/StockTipRobot/status/882346635216531456
perryns69;2017-07-04 16:11;0;0;"Big Tobacco Yield At A Low Price https:// seekingalpha.com/article/407591 9?source=ansh … $ IMBBY , $ BTI , $ MO , $ PM , $ RAI";;;;"882331156552835072";https://twitter.com/perryns69/status/882331156552835072
TobaccoSector;2017-07-04 11:58;0;0;"#RAI These Iconic Brands Are as Old as America . Read more: http:// owler.us/acYCe0 $ RAI";;;#RAI;"882267389840179201";https://twitter.com/TobaccoSector/status/882267389840179201
