username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tradeanatomy;2017-07-07 21:04;1;3;"Latest blog post and watchlist ideas http://www. tradeanatomy.com/content/2017/7 /7/lawn-mowing-and-trading-have-more-in-common-than-i-thought … $ BABA $ IPGP $ FOE $ RIO $ CELG";;;;"883492008878321664";https://twitter.com/tradeanatomy/status/883492008878321664
dailymailtimes;2017-07-07 19:31;0;0;"Positive Press Coverage Likely to Impact Rio Tinto PLC $ RIO Stock Price http:// ift.tt/2sQ9pl5";;;;"883468638266830853";https://twitter.com/dailymailtimes/status/883468638266830853
WatchlistN;2017-07-07 18:57;0;0;"Positive Press Coverage Likely to Impact Rio Tinto PLC $ RIO Stock Price http:// ift.tt/2tr44z6";;;;"883459938181423104";https://twitter.com/WatchlistN/status/883459938181423104
SPNewsAnalysis;2017-07-07 18:32;0;0;"Bremer Trust National Association Raises Position in Rio Tinto PLC $ RIO http:// ift.tt/2uUm6Ib";;;;"883453688127344641";https://twitter.com/SPNewsAnalysis/status/883453688127344641
storminvestor;2017-07-07 18:32;0;0;"Bremer Trust National Association Raises Position in Rio Tinto PLC $ RIO http:// ift.tt/2tRYM0A";;;;"883453617402937344";https://twitter.com/storminvestor/status/883453617402937344
SleekMoneycom;2017-07-07 18:31;0;0;"Bremer Trust National Association Raises Position in Rio Tinto PLC $ RIO http:// ift.tt/2sWipjV";;;;"883453463295918081";https://twitter.com/SleekMoneycom/status/883453463295918081
SleekMoneycom;2017-07-07 17:11;0;0;"Rio Tinto PLC $ RIO Upgraded by ValuEngine to Strong-Buy http:// ift.tt/2uTGyJb";;;;"883433384508366848";https://twitter.com/SleekMoneycom/status/883433384508366848
MarketRealist;2017-07-07 13:44;0;0;"Freeport-McMoRan Stock's 2H17 Upside Potential http://marketrealist.com?p=2191297 marketrealist.com/?p=2191297 $ FCX $ BHP $ RIO $ SCCO";;;;"883381225666342912";https://twitter.com/MarketRealist/status/883381225666342912
St0ckReviews;2017-07-07 13:14;0;0;"http:// smq.tc/1GEVAGT <-- This is just an excellent trading DVD it covers everything you need to know! $ ITB $ RIO $ BHP $ RYL";;;;"883373620738768896";https://twitter.com/St0ckReviews/status/883373620738768896
galebett;2017-07-07 12:37;0;0;"$ RIO - Rio Tinto PLC Transaction in Own Shares http:// uk.advfn.com/stock-market/l ondon/RIO/share-news/Rio-Tinto-PLC-Transaction-in-Own-Shares/75196421?adw=1126416 …";;;;"883364272818016256";https://twitter.com/galebett/status/883364272818016256
chaffeybreeze;2017-07-07 12:34;0;0;"Rio Tinto PLC $ RIO Stake Decreased by Clearbridge Investments LLC http:// ift.tt/2tR4rUV";;;;"883363552953860098";https://twitter.com/chaffeybreeze/status/883363552953860098
IRAMarketReport;2017-07-07 12:32;0;0;"Rio Tinto PLC $ RIO Stake Decreased by Clearbridge Investments LLC http:// ift.tt/2tR4rUV";;;;"883363095795642368";https://twitter.com/IRAMarketReport/status/883363095795642368
BullBearCharts;2017-07-07 09:08;1;2;"Up Gappers $ GLBS $ NEE $ AFSI $ DRYS $ SNCR $ ONS $ BIOC $ AVEO $ CNAT $ VSTM $ CLF $ AEG $ CS $ AMD $ AUO $ AKS $ STM $ UL $ RIO $ DB $ SQ $ BTI $ LB $ MT $ MEET pic.twitter.com/t7Ep1VjO7D";;;;"883311832009768960";https://twitter.com/BullBearCharts/status/883311832009768960
cheerio46;2017-07-07 08:32;1;1;"Teck Resources Ltd's Most Brilliant Moves in 2017 So Far @themotleyfool #stocks $ BHP , $ RIO , $ TECK https://www. fool.com/investing/2017 /07/06/teck-resources-ltds-most-brilliant-moves-in-2017-s.aspx …";;@themotleyfool;#stocks;"883302765967151104";https://twitter.com/cheerio46/status/883302765967151104
TheMarketsDaily;2017-07-07 08:22;0;0;"BidaskClub Upgrades Rio Tinto PLC $ RIO to Buy http:// zpr.io/PdvWG";;;;"883300213842214912";https://twitter.com/TheMarketsDaily/status/883300213842214912
TheMarketsDaily;2017-07-07 07:31;0;0;"Rio Tinto PLC Sees Unusually Large Options Volume $ RIO http:// zpr.io/PdvDZ";;;;"883287263739867137";https://twitter.com/TheMarketsDaily/status/883287263739867137
midetimes;2017-07-07 04:56;0;0;"BidaskClub Upgrades Rio Tinto PLC $ RIO to Buy http:// ift.tt/2swtAQW";;;;"883248361528324096";https://twitter.com/midetimes/status/883248361528324096
JasonBPorsche;2017-07-07 00:05;0;0;"http:// bit.ly/1VvJJhE Top millionaire traders alerts service gives a FREE TRIAL, Wish others did these. $ AVGO $ RIO $ FB";;;;"883175130221826048";https://twitter.com/JasonBPorsche/status/883175130221826048
RatingsNetwork;2017-07-06 16:23;0;0;"Want automatic email alerts for $ RIO $ TRGP $ AGO $ CAR $ STEC ? Subscribe to MarketBeat Daily http:// bit.ly/arndailyw";;;;"883058956536619008";https://twitter.com/RatingsNetwork/status/883058956536619008
WatchlistN;2017-07-06 16:07;0;0;"Rio Tinto PLC $ RIO Rating Increased to Strong-Buy at ValuEngine http:// ift.tt/2tRzFuB";;;;"883054768767328257";https://twitter.com/WatchlistN/status/883054768767328257
