username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WatchlistN;2017-07-07 18:57;0;0;"Royal Bank Of Canada $ RY Earning Positive News Coverage, Report Shows http:// ift.tt/2sWN8gx";;;;"883459940760813568";https://twitter.com/WatchlistN/status/883459940760813568
dakotafinancial;2017-07-07 18:51;0;0;"Royal Bank Of Canada $ RY Earning Positive News Coverage, Report Shows http:// ift.tt/2szjJcO";;;;"883458391951245314";https://twitter.com/dakotafinancial/status/883458391951245314
hal_jam;2017-07-07 18:42;0;0;"$ TD $ BMO $ CM $ RY Buyer beware. Housing bubbles popping. Chinese money has left the building. https:// twitter.com/alderlaneeggs/ status/883436103222439936 …";;;;"883456120949362688";https://twitter.com/hal_jam/status/883456120949362688
DivyInvestor;2017-07-07 16:53;0;0;"@RBC $ RY Royal Bank Of Canada: 3 Strong Reasons To Buy https:// seekingalpha.com/article/284533 6-royal-bank-of-canada-3-strong-reasons-to-buy?source=tweet … $ CYN $ RY";;@RBC;;"883428902982602753";https://twitter.com/DivyInvestor/status/883428902982602753
deepxdive;2017-07-07 15:47;0;0;"$ RY ETFs with exposure to Royal Bank of Canada June 15, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/investment-analysis/ETF%20Alternatives …";;;#;"883412062113812480";https://twitter.com/deepxdive/status/883412062113812480
deepxdive;2017-07-07 15:46;0;0;"$ RY ETFs with exposure to Royal Bank of Canada July 6, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/investment-analysis/ETF%20Alternatives …";;;#;"883412045894492160";https://twitter.com/deepxdive/status/883412045894492160
deepxdive;2017-07-07 12:25;0;0;"$ RY Royal Bank of Canada RY-CA Earnings Analysis Q1, 2017 By the Numbers March 7, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/Earningsreleaseaol … pic.twitter.com/TFFyAoZEI8";;;#;"883361372792397826";https://twitter.com/deepxdive/status/883361372792397826
deepxdive;2017-07-07 11:18;0;0;"$ RY Royal Bank of Canada RY-CA Earnings Analysis Q1, 2017 By the Numbers March 7, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/Earningsreleaseaol … pic.twitter.com/eZmAVc50bU";;;#;"883344568221143041";https://twitter.com/deepxdive/status/883344568221143041
JF_Gaumond;2017-07-07 08:46;0;0;"Unemployment : increase in USD / drop in Canada. So what gonna happen with interest rates Mr. Poloz? #tsx $ bmo $ td $ ry #finance";;;#tsx #finance;"883306266193481728";https://twitter.com/JF_Gaumond/status/883306266193481728
JPDesloges;2017-07-07 08:05;0;0;"Royal #Bank of #Canada Still into a Main Daily Downtrend Channel. Now Testing Resistance. #banks #stocks $ RY #Trading #ry #risk pic.twitter.com/QvgiHlLN88";;;#Bank #Canada #banks #stocks #Trading #ry #risk;"883295785302884352";https://twitter.com/JPDesloges/status/883295785302884352
TITAN_TradingCA;2017-07-07 06:45;0;0;"$ TD , $ CM , $ RY , $ HCG , $ BNS , $ BMO Canada's banking regulator is tightening rules for mortgages, https://www. stockwatch.com/News/Item.aspx ?bid=Z-C:CM-2485407&symbol=CM&region=C …";;;;"883275802162466817";https://twitter.com/TITAN_TradingCA/status/883275802162466817
SleekMoneycom;2017-07-06 18:31;0;0;"West Oak Capital LLC Continues to Hold Stake in Royal Bank Of Canada $ RY http:// ift.tt/2tROZY6";;;;"883091038096826369";https://twitter.com/SleekMoneycom/status/883091038096826369
TheMarketsDaily;2017-07-06 18:30;0;0;"West Oak Capital LLC Continues to Hold Stake in Royal Bank Of Canada $ RY http:// zpr.io/PdezT";;;;"883090792037978112";https://twitter.com/TheMarketsDaily/status/883090792037978112
IRAMarketReport;2017-07-06 15:39;0;0;"Triangle Securities Wealth Management Has $597,000 Stake in Royal Bank Of Canada $ RY http:// ift.tt/2sLfkI4";;;;"883047875193778182";https://twitter.com/IRAMarketReport/status/883047875193778182
chaffeybreeze;2017-07-06 15:39;0;0;"Triangle Securities Wealth Management Has $597,000 Stake in Royal Bank Of Canada $ RY http:// ift.tt/2sLfkI4";;;;"883047826145648640";https://twitter.com/chaffeybreeze/status/883047826145648640
deepxdive;2017-07-06 14:18;0;0;"$ RY ETFs with exposure to Royal Bank of Canada June 15, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/investment-analysis/ETF%20Alternatives …";;;#;"883027268204978177";https://twitter.com/deepxdive/status/883027268204978177
deepxdive;2017-07-06 14:17;0;0;"$ RY ETFs with exposure to Royal Bank of Canada July 6, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/investment-analysis/ETF%20Alternatives …";;;#;"883027256020541440";https://twitter.com/deepxdive/status/883027256020541440
Dyro01676;2017-07-06 13:55;0;0;"think $ RY has any more legs to it?";;;;"883021522025230336";https://twitter.com/Dyro01676/status/883021522025230336
chaffeybreeze;2017-07-06 12:16;0;0;"Royal Bank Of Canada $ RY Upgraded at BidaskClub http:// ift.tt/2sKgl2V";;;;"882996658354704387";https://twitter.com/chaffeybreeze/status/882996658354704387
deepxdive;2017-07-06 11:34;0;0;"$ RY Royal Bank of Canada RY-CA Earnings Analysis Q1, 2017 By the Numbers March 7, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/Earningsreleaseaol … pic.twitter.com/LwJx7H19ID";;;#;"882986137949810689";https://twitter.com/deepxdive/status/882986137949810689
1LuckyJimmy;2017-07-06 11:00;0;0;"RY +0.28 total advance today 10:30 ET. Royal Bank of Canada $ RY 73.51 Stock hit a High of 73.66 and 73.08 Low https:// investorshangout.com/post/view?id=4 645987 …";;;;"882977632442347520";https://twitter.com/1LuckyJimmy/status/882977632442347520
DayTradeCanada;2017-07-06 10:40;0;0;"$ VPY.V +20% on deal with $ RY also from the watchlist and newsletter but big move yesterday & huge gap up today made it a tough chase #Stocks";;;#Stocks;"882972409372045312";https://twitter.com/DayTradeCanada/status/882972409372045312
avigilanttrader;2017-07-06 10:38;0;0;"$ RY https:// twitter.com/francesdonald/ status/882315918789017600 …";;;;"882972148322758656";https://twitter.com/avigilanttrader/status/882972148322758656
deepxdive;2017-07-06 10:32;0;0;"$ RY Royal Bank of Canada RY-CA Earnings Analysis Q1, 2017 By the Numbers March 7, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/Earningsreleaseaol … pic.twitter.com/Aws2VZVtx3";;;#;"882970424182702081";https://twitter.com/deepxdive/status/882970424182702081
Virtus_Advisory;2017-07-06 09:27;5;3;"@VersaPay $ VPY.V enters into agreement with @RBC $ RY http:// bit.ly/2utL3L5 #fintech #stocks #smallcap";;@VersaPay @RBC;#fintech #stocks #smallcap;"882954138539184128";https://twitter.com/Virtus_Advisory/status/882954138539184128
Fractaurean;2017-07-06 09:05;0;0;"If I Had To Build An Income Portfolio Today - Update 19 https:// seekingalpha.com/article/408575 7-build-income-portfolio-today-update-19?source=tweet … $ CALM $ CLDT $ EPD $ HASI $ HCN $ OHI $ ORI $ PEGI $ PFF $ RY $ STWD";;;;"882948634106527744";https://twitter.com/Fractaurean/status/882948634106527744
JPDesloges;2017-07-06 08:20;0;0;"Royal #Bank of #Canada Still into a Main Daily Downtrend Channel. Near Testing Resistance. #banks #stocks $ RY #Trading #ry #risk pic.twitter.com/CvI7Re391t";;;#Bank #Canada #banks #stocks #Trading #ry #risk;"882937173770678275";https://twitter.com/JPDesloges/status/882937173770678275
IBD_DChung;2017-07-05 18:58;0;0;"Can't Ignore The #Banks : IBD Income Investor features a top lender/investment bank w/ a 3.5% yield, basing http:// ow.ly/JxII30dnvj7 $ RY $ TD";;;#Banks;"882735491774390272";https://twitter.com/IBD_DChung/status/882735491774390272
Tr4d3rN0m4d;2017-07-05 18:07;0;0;"$ XFN.TO $ TD $ BMO $ BNS $ RY $ CM $ USDCAD https:// twitter.com/francesdonald/ status/882315918789017600 …";;;;"882722724325376000";https://twitter.com/Tr4d3rN0m4d/status/882722724325376000
deepxdive;2017-07-05 13:14;0;0;"$ RY ETFs with exposure to Royal Bank of Canada June 15, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/investment-analysis/ETF%20Alternatives …";;;#;"882648777181540353";https://twitter.com/deepxdive/status/882648777181540353
deepxdive;2017-07-05 10:32;0;0;"$ RY Royal Bank of Canada RY-CA Earnings Analysis Q1, 2017 By the Numbers March 7, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/Earningsreleaseaol … pic.twitter.com/gil98znEsf";;;#;"882608143053836288";https://twitter.com/deepxdive/status/882608143053836288
Dealogic;2017-07-05 10:27;1;1;"RBC ranked 9th in H1 2017 global IB revenue, the only bank from the top 10 to boost its ranking from H1 2016 http:// buff.ly/2tM26u5 $ RY pic.twitter.com/Z0gn3CRBcc";;;;"882606750964252682";https://twitter.com/Dealogic/status/882606750964252682
deepxdive;2017-07-05 09:31;0;0;"$ RY Royal Bank of Canada RY-CA Earnings Analysis Q1, 2017 By the Numbers March 7, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/Earningsreleaseaol … pic.twitter.com/BRsOPN4CY8";;;#;"882592716621852673";https://twitter.com/deepxdive/status/882592716621852673
StockTradePicks;2017-07-05 09:12;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ BRK.B $ TEVA $ RY $ VTR $ BCE $ ACHN $ FAZ $ APD $ GGN $ LCI";;;;"882588052534607874";https://twitter.com/StockTradePicks/status/882588052534607874
JPDesloges;2017-07-05 08:20;0;0;"Royal #Bank of #Canada Still into a Main Daily Downtrend Channel. Broke Major Support Line (yellow) #banks #stocks $ RY #Trading #ry #risk pic.twitter.com/q9M9HSk9a0";;;#Bank #Canada #banks #stocks #Trading #ry #risk;"882574788442693633";https://twitter.com/JPDesloges/status/882574788442693633
SEEKINGALPHA_FS;2017-07-05 08:15;0;0;"If I Had To Build An Income Portfolio Today - Update 19 https:// seekingalpha.com/article/408575 7-build-income-portfolio-today-update-19?source=twitter_sa_factset … $ CALM $ CLDT $ EPD $ HASI $ HCN $ OHI $ ORI $ PEGI $ PFF $ RY $ STWD";;;;"882573621926830080";https://twitter.com/SEEKINGALPHA_FS/status/882573621926830080
SeekingAlpha;2017-07-05 08:15;0;0;"If I Had To Build An Income Portfolio Today - Update 19 https:// seekingalpha.com/article/408575 7-build-income-portfolio-today-update-19?source=feed_f … $ CALM $ CLDT $ EPD $ HASI $ HCN $ OHI $ ORI $ PEGI $ PFF $ RY $ STWD";;;;"882573620156944384";https://twitter.com/SeekingAlpha/status/882573620156944384
midetimes;2017-07-04 17:41;0;0;"Somewhat Positive Media Coverage Extremely Unlikely to Affect Royal Bank Of Canada $ RY Share Price http:// ift.tt/2sJOQC1";;;;"882353678908305408";https://twitter.com/midetimes/status/882353678908305408
fhoro;2017-07-04 16:44;1;1;"Global brands — http:// FT.com . Interesting list. Biggest +change Moutai +29! Cdn mentions $ TD +4 $ RY -2 https:// ig.ft.com/top-100-global -brands/ …";;;;"882339239068938240";https://twitter.com/fhoro/status/882339239068938240
deepxdive;2017-07-04 15:41;0;0;"$ RY ETFs with exposure to Royal Bank of Canada June 15, 2017 https:// online.capitalcube.com/#!/stock/CA/ex change/RY/investment-analysis/ETF%20Alternatives …";;;#;"882323482209648640";https://twitter.com/deepxdive/status/882323482209648640
SwingTradeBot;2017-07-04 15:38;0;0;"Recent $ RY technical alerts: Upper Bollinger Band Walk plus 4 more alerts... https:// swingtradebot.com/equities/RY";;;;"882322777101004800";https://twitter.com/SwingTradeBot/status/882322777101004800
