username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Trade_Alertinto;2017-07-08 02:06;0;0;"http:// smq.tc/1fofWIg < @Profitly #gurus are honest and transparent traders! $ SAN $ EDC $ TROW $ TWI $ CB";;@Profitly;#gurus;"883567890615517184";https://twitter.com/Trade_Alertinto/status/883567890615517184
stock_forums;2017-07-08 01:46;0;0;"$ SAN Share your opinions here #InvestorsHangout $ WFTBF $ HKWO $ RFLFF $ POTTF $ AEUA http:// dlvr.it/PT3lmk";;;#InvestorsHangout;"883562809266589696";https://twitter.com/stock_forums/status/883562809266589696
Sw1ng_Trader;2017-07-07 20:10;0;0;"Tom McCarthy teaches you how to Profit from Stock Promotions on profitly http:// smq.tc/1Tmtnbv $ EXXI $ SAN $ RCL $ IWF";;;;"883478411720577024";https://twitter.com/Sw1ng_Trader/status/883478411720577024
dakotafinancial;2017-07-07 19:02;0;0;"Banco Santander, $ SAN Earning Somewhat Positive News Coverage, Analysis Finds http:// ift.tt/2tzr25H";;;;"883461207201632257";https://twitter.com/dakotafinancial/status/883461207201632257
SimplyTrades2;2017-07-07 18:01;0;1;"http:// profit.ly/5005Pn Be persistent trading stocks and you will succeed!!!!! $ EXEL $ MGM $ SAN $ CY";;;;"883445841951768576";https://twitter.com/SimplyTrades2/status/883445841951768576
StocksThatDoubl;2017-07-07 17:49;0;0;"http:// BiloSelhi.com members have an advantage.SEE TRACK RECORD & JOIN pic.twitter.com/jJblPPWxLK $ LVS $ GPS $ SAN $ CAT $ VIV $ TLI $ UPLD $ HHY";;;;"883442891011629056";https://twitter.com/StocksThatDoubl/status/883442891011629056
NewsToDesk;2017-07-07 15:38;0;0;"$ SAN : Monte Dei Paschi: Another One Bites The Dust: http://www. StockNewsWires.com/san-monte-dei- paschi-another-one-bites-the-dust/ …";;;;"883409798879789056";https://twitter.com/NewsToDesk/status/883409798879789056
SeekingAlpha;2017-07-07 15:35;2;1;"Monte Dei Paschi: Another One Bites The Dust https:// seekingalpha.com/article/408636 8-monte-dei-paschi-another-one-bites-dust?source=feed_f … $ ISNPY $ SAN $ BMDPY";;;;"883409032714657792";https://twitter.com/SeekingAlpha/status/883409032714657792
SPNewsAnalysis;2017-07-07 15:17;0;0;"Banco Santander, S.A. $ SAN Position Raised by Clearbridge Investments LLC http:// ift.tt/2tqxnC3";;;;"883404623586893826";https://twitter.com/SPNewsAnalysis/status/883404623586893826
storminvestor;2017-07-07 15:17;0;0;"Banco Santander, S.A. $ SAN Position Raised by Clearbridge Investments LLC http:// ift.tt/2sye472";;;;"883404599847157761";https://twitter.com/storminvestor/status/883404599847157761
whalescalling;2017-07-07 14:19;0;0;"Bot $ SAN https:// twitter.com/chaffeybreeze/ status/883368592204541952 …";;;;"883390120707080196";https://twitter.com/whalescalling/status/883390120707080196
StocksThatDoubl;2017-07-07 13:07;0;0;"Stock trade alerts http:// BiloSelhi.com JOIN NOW Promo pic.twitter.com/07CVi8iqIp $bitcoin $ EOG $ TSM $ ATVI $ LVS $ GPS $ SAN $ CAT";;;;"883371994569478144";https://twitter.com/StocksThatDoubl/status/883371994569478144
chaffeybreeze;2017-07-07 12:54;0;0;"Banco Santander, S.A. $ SAN Shares Bought by United Capital Financial Advisers LLC http:// ift.tt/2sP039a";;;;"883368592204541952";https://twitter.com/chaffeybreeze/status/883368592204541952
