username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WatchlistN;2017-07-08 05:02;0;0;"Texas Yale Capital Corp. Has $218,000 Position in Starbucks Corporation $ SBUX http:// ift.tt/2tAgO5f";;;;"883612284001636352";https://twitter.com/WatchlistN/status/883612284001636352
dailypoliticaln;2017-07-08 05:01;0;0;"Suntrust Banks Inc. Sells 17,217 Shares of Starbucks Corporation $ SBUX http:// ift.tt/2uVkI7Y";;;;"883611957357629440";https://twitter.com/dailypoliticaln/status/883611957357629440
SleekMoneycom;2017-07-08 04:56;0;0;"Starbucks Corporation $ SBUX Shares Sold by Tradewinds Capital Management LLC http:// ift.tt/2tWXd1i";;;;"883610708147097600";https://twitter.com/SleekMoneycom/status/883610708147097600
midetimes;2017-07-08 04:56;0;0;"Baltimore Capital Management Inc. Invests $1.99 Million in Starbucks Corporation $ SBUX http:// ift.tt/2tsqXCr";;;;"883610690514284548";https://twitter.com/midetimes/status/883610690514284548
uk_stocktweets;2017-07-08 04:50;0;0;"#Stocks #Investors Get Latest on $ SBUX & How they look to improve #Profits & Grow Sales in Article by @TradeZer0 >> http:// ow.ly/jnOS30ds7Bx pic.twitter.com/3ymguUFfU1";;@TradeZer0;#Stocks #Investors #Profits;"883609127607554048";https://twitter.com/uk_stocktweets/status/883609127607554048
midetimes;2017-07-08 04:46;0;0;"Bank of New York Mellon Corp Has $1.80 Billion Position in Starbucks Corporation $ SBUX http:// ift.tt/2sAt7wS";;;;"883608145167253504";https://twitter.com/midetimes/status/883608145167253504
TravelTrader1;2017-07-08 03:04;0;0;"http:// bit.ly/1VvJJhE - Limited time FREE TRIAL to world class stock alerts chatroom $ ZB $ ONOV $ SBUX";;;;"883582488433508352";https://twitter.com/TravelTrader1/status/883582488433508352
OptionAlarm;2017-07-07 23:15;0;0;"It's a stock-pickers market again. Recent winners include $ NFLX $ JWN $ TSLA $ NVDA $ SBUX Free Trials, hitting swing winners since 2006";;;;"883524817315606530";https://twitter.com/OptionAlarm/status/883524817315606530
uk_stocktweets;2017-07-07 23:00;0;0;"You #Trading #Nasdaq #Stocks ? Latest on $ SBUX & How they look to improve #Profits in this Article by @TradeZer0 > http:// ow.ly/GnT330ds7yB pic.twitter.com/CD17PolZyY";;@TradeZer0;#Trading #Nasdaq #Stocks #Profits;"883521125036306432";https://twitter.com/uk_stocktweets/status/883521125036306432
MillionProfiles;2017-07-07 22:29;0;0;"http:// smq.tc/2tJJASQ want to check out a top millionaire etf trader? $ fb $ twtr #trading #stocks $ ROX $ SBUX";;;#trading #stocks;"883513277975732226";https://twitter.com/MillionProfiles/status/883513277975732226
kumafukrou;2017-07-07 22:22;0;1;"食べて応援 $ SBUX pic.twitter.com/LYKdSk7jhF";;;;"883511639756095488";https://twitter.com/kumafukrou/status/883511639756095488
Stockerroo;2017-07-07 21:27;0;0;"http:// smq.tc/1LlBEKl SuperAlerts Monthly changed my financial life for the better forever, check it out! $ AMZN $ SBUX $ RIG";;;;"883497689618317312";https://twitter.com/Stockerroo/status/883497689618317312
FinInvTr;2017-07-07 20:31;0;0;"Consumer Stocks: Are Large Caps The Best Options? $ AMZN $ DIS $ MCD $ SBUX $ NKE http:// buff.ly/2uA8r9Q";;;;"883483538129080320";https://twitter.com/FinInvTr/status/883483538129080320
ExactOptionPick;2017-07-07 20:30;1;0;"ACTIVE TRADERS choose one of these FREE trading guides: http:// ow.ly/FqDE30dqfA5 $ NFLX $ TSLA $ AAPL $ SBUX $ GS $ FB $ AMZN $ GOOGL $ NVDA";;;;"883483317655535616";https://twitter.com/ExactOptionPick/status/883483317655535616
newswelldone;2017-07-07 20:15;0;0;"$ TWTR $ TSLA $ SBUX : Here’s the Top 5 Most Un-CEO Things That Have Come Out Of …: http://www. StockNewsWires.com/twtr-tsla-sbux -heres-the-top-5-most-un-ceo-things-that-have-come-out-of/ …";;;;"883479497974071296";https://twitter.com/newswelldone/status/883479497974071296
AlpacaAlerts;2017-07-07 20:11;0;0;"$ SBUX is in Stochastic Oversold winning 64.71% in the past. https:// goo.gl/k38KdG pic.twitter.com/hiUI7IUFeu";;;;"883478491337027584";https://twitter.com/AlpacaAlerts/status/883478491337027584
FinInvTr;2017-07-07 18:01;0;0;"Consumer Stocks: Are Large Caps The Best Options? $ AMZN $ DIS $ MCD $ SBUX $ NKE http:// buff.ly/2sIxcn0";;;;"883445981899087872";https://twitter.com/FinInvTr/status/883445981899087872
LigeiroDiego;2017-07-07 17:42;0;0;"$ SBUX - Estados Unidos: Índice Nasdaq Composite fecha em alta de +1,04% nesta sexta-feira, 07 de julho de 2017 http:// br.advfn.com/noticias/PAPER BR/2017/artigo/75198259?adw=1126416 …";;;;"883441011019698176";https://twitter.com/LigeiroDiego/status/883441011019698176
IRAMarketReport;2017-07-07 17:22;0;0;"Starbucks Corporation $ SBUX Receiving Somewhat Positive News Coverage, Analysis Finds http:// ift.tt/2uA28mw";;;;"883436093240225792";https://twitter.com/IRAMarketReport/status/883436093240225792
chaffeybreeze;2017-07-07 17:19;0;0;"Starbucks Corporation $ SBUX Receiving Somewhat Positive News Coverage, Analysis Finds http:// ift.tt/2uA28mw";;;;"883435408562024448";https://twitter.com/chaffeybreeze/status/883435408562024448
NPPtrades;2017-07-07 16:39;0;0;"Monday long setups are $ ALB $ FB $ FEYE . And many more are close to setting up $ AAPL $ CELG $ JD $ SBUX $ TWTR $ VMW . All covered this weekend!";;;;"883425368140533760";https://twitter.com/NPPtrades/status/883425368140533760
SleekMoneycom;2017-07-07 16:36;0;0;"Starbucks Corporation’s $ SBUX Buy Rating Reaffirmed at Mizuho http:// ift.tt/2tqqqRr";;;;"883424574137937920";https://twitter.com/SleekMoneycom/status/883424574137937920
SeekingAlpha;2017-07-07 15:53;0;0;"Yum China: Buy On The Drop? https:// seekingalpha.com/article/408637 6-yum-china-buy-drop?source=feed_f … $ DPZ $ MCD $ SBUX $ YUMC";;;;"883413665117986816";https://twitter.com/SeekingAlpha/status/883413665117986816
kenserson;2017-07-07 14:45;0;0;"$ SBUX - Bot Sept 60 calls on new daily highs off 200d. Possible I should have waited a bit. Earnings risk. Hoping for a 3W up to new ATH's.";;;;"883396490437083137";https://twitter.com/kenserson/status/883396490437083137
amishra36;2017-07-07 14:42;0;1;"$ CAG $ SBUX $ MDLZ $ COST are on my dipbuy radar for this month. Opened $ SBUX position yesterday, watching the rest. pic.twitter.com/77qjfF6T5J";;;;"883395772405784576";https://twitter.com/amishra36/status/883395772405784576
traderstewie;2017-07-07 14:18;4;18;"Anyone else see a common thread between $ COST , $ TSLA , $ SBUX , $ ORLY , $ AZO and $ CAG ?";;;;"883389660331859971";https://twitter.com/traderstewie/status/883389660331859971
ActualTrader1;2017-07-07 14:08;0;0;"$ TSLA $ SBUX $ PIXY If you day trade, this is a must have URL: http:// bit.ly/2ujI5aY pic.twitter.com/gVKQhKGH6P";;;;"883387363543699456";https://twitter.com/ActualTrader1/status/883387363543699456
