username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MaysReport;2017-07-07 12:15;0;0;"$ MON , $ SYT & $ CGA the only agricultural chemicals firms in our custom benchmark with positive YTD returns (CGA Q2 returns down 1.5%).";;;;"883358934999986176";https://twitter.com/MaysReport/status/883358934999986176
IRAMarketReport;2017-07-07 11:37;0;0;"Credit Suisse AG Sells 99,546 Shares of Syngenta AG $ SYT http:// ift.tt/2txWwJl";;;;"883349365154357248";https://twitter.com/IRAMarketReport/status/883349365154357248
chaffeybreeze;2017-07-07 11:34;0;0;"Credit Suisse AG Sells 99,546 Shares of Syngenta AG $ SYT http:// ift.tt/2txWwJl";;;;"883348552050757634";https://twitter.com/chaffeybreeze/status/883348552050757634
sitifatimahnet;2017-07-07 11:18;0;0;"Syngenta settles Nebraska farmer lawsuit after recent court defeat https:// seekingalpha.com/news/3277493-s yngenta-settles-nebraska-farmer-lawsuit-recent-court-defeat?source=feed_f … $ SYT #sitifatimah #malaysia #financialplanning";;;#sitifatimah #malaysia #financialplanning;"883344367632744449";https://twitter.com/sitifatimahnet/status/883344367632744449
SEEKINGALPHA_FS;2017-07-07 11:15;0;0;"Syngenta settles Nebraska farmer lawsuit after recent court defeat https:// seekingalpha.com/news/3277493-s yngenta-settles-nebraska-farmer-lawsuit-recent-court-defeat?source=twitter_sa_factset … $ SYT";;;;"883343831499808770";https://twitter.com/SEEKINGALPHA_FS/status/883343831499808770
MarketCurrents;2017-07-07 11:15;0;0;"Syngenta settles Nebraska farmer lawsuit after recent court defeat https:// seekingalpha.com/news/3277493-s yngenta-settles-nebraska-farmer-lawsuit-recent-court-defeat?source=feed_f … $ SYT";;;;"883343830329589760";https://twitter.com/MarketCurrents/status/883343830329589760
WatchlistN;2017-07-07 09:17;0;0;"Credit Suisse AG Sells 99,546 Shares of Syngenta AG $ SYT http:// ift.tt/2uRX8t1";;;;"883314035386724352";https://twitter.com/WatchlistN/status/883314035386724352
TradeAcademyCo;2017-07-07 08:49;0;1;"7/7 50D MA Watch List: $ PLUG $ TECK $ TWTR $ OCLR $ MOMO $ FXI $ FOXA $ TBT $ EXC $ SDS $ IWM $ MA $ DISH $ EWY $ VXX $ SYT $ VEEV $ EMR $ LQD $ EPD #trading";;;#trading;"883307046921269248";https://twitter.com/TradeAcademyCo/status/883307046921269248
dailymailtimes;2017-07-07 08:02;0;0;"Zacks Investment Research Downgrades Syngenta AG $ SYT to Hold http:// ift.tt/2tPUPd9";;;;"883295037429350406";https://twitter.com/dailymailtimes/status/883295037429350406
midetimes;2017-07-06 13:21;0;0;"Syngenta AG $ SYT Lowered to “Hold” at Zacks Investment Research http:// ift.tt/2tlAb3f";;;;"883012967918338049";https://twitter.com/midetimes/status/883012967918338049
TradeAcademyCo;2017-07-06 08:58;0;0;"7/6 50D MA Watch List: $ EMR $ CY $ ATVI $ EPI $ MRK $ AMZN $ MYL $ GSAT $ PEP $ NTAP $ AIG $ S $ EWJ $ PG $ NOK $ WDAY $ V $ GDXJ $ TWTR $ SN $ SYT #trading";;;#trading;"882946764948504577";https://twitter.com/TradeAcademyCo/status/882946764948504577
TradeAcademyCo;2017-07-06 08:56;0;0;"7/6 52-Week Hi Watch List: $ TWX $ KITE $ JPM $ RH $ CMI $ HSBC $ AMGN $ UNH $ SPLS $ LUV $ DXJ $ CSX $ RTN $ CLVS $ GLW $ SYT $ DAL $ FDX $ EXEL $ CIT #trading";;;#trading;"882946292644802560";https://twitter.com/TradeAcademyCo/status/882946292644802560
dailypoliticaln;2017-07-06 08:49;0;0;"Barings LLC Continues to Hold Stake in Syngenta AG $ SYT http:// ift.tt/2tUqQB3";;;;"882944632925155329";https://twitter.com/dailypoliticaln/status/882944632925155329
