username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TraderFaint;2017-07-08 01:47;0;0;"http:// smq.tc/1rbc43s < Don’t put off your success any longer, FREE TRIAL to world class trading chatroom. $ PTEN $ ISBC $ TD";;;;"883563126041399296";https://twitter.com/TraderFaint/status/883563126041399296
hal_jam;2017-07-07 18:42;0;0;"$ TD $ BMO $ CM $ RY Buyer beware. Housing bubbles popping. Chinese money has left the building. https:// twitter.com/alderlaneeggs/ status/883436103222439936 …";;;;"883456120949362688";https://twitter.com/hal_jam/status/883456120949362688
dakotafinancial;2017-07-07 18:41;0;0;"Burns J W & Co. Inc. NY Has $280,000 Position in Toronto Dominion Bank $ The $ TD http:// ift.tt/2uAizzn";;;;"883455874118942720";https://twitter.com/dakotafinancial/status/883455874118942720
midetimes;2017-07-07 18:36;0;0;"Burns J W & Co. Inc. NY Has $280,000 Position in Toronto Dominion Bank $ The $ TD http:// ift.tt/2u1jVWF";;;;"883454693573316608";https://twitter.com/midetimes/status/883454693573316608
DivyInvestor;2017-07-07 16:54;0;0;"@TD #TD $ TD Toronto Dominion Will Continue To Perform In 2015 https:// seekingalpha.com/article/282145 6-toronto-dominion-will-continue-to-perform-in-2015?source=tweet … $ TD";;@TD;#TD;"883429081173430273";https://twitter.com/DivyInvestor/status/883429081173430273
dakotafinancial;2017-07-07 16:31;0;0;"Toronto Dominion Bank $ The $ TD Receiving Favorable Press Coverage, Analysis Shows http:// ift.tt/2sVXblV";;;;"883423256841269249";https://twitter.com/dakotafinancial/status/883423256841269249
dakotafinancial;2017-07-07 15:31;0;0;"Toronto Dominion Bank $ The $ TD Receiving Favorable Press Coverage, Analysis Shows http:// ift.tt/2u0SAUI";;;;"883408115395416064";https://twitter.com/dakotafinancial/status/883408115395416064
midetimes;2017-07-07 15:16;0;0;"Toronto Dominion Bank $ The $ TD Receiving Favorable Press Coverage, Analysis Shows http:// ift.tt/2sVKaJ7";;;;"883404423204089856";https://twitter.com/midetimes/status/883404423204089856
JF_Gaumond;2017-07-07 08:46;0;0;"Unemployment : increase in USD / drop in Canada. So what gonna happen with interest rates Mr. Poloz? #tsx $ bmo $ td $ ry #finance";;;#tsx #finance;"883306266193481728";https://twitter.com/JF_Gaumond/status/883306266193481728
TV_TradingIdeas;2017-07-07 08:41;0;0;"Canadian banks 'stocks would be stro\u2026 $ TD http://www. tradingview.com/chart/TD/f6cdc ps4-Canadian-banks-stocks-would-be-strong-nest-week/ …";;;;"883304951379705861";https://twitter.com/TV_TradingIdeas/status/883304951379705861
Chenji77;2017-07-07 08:41;0;0;"Canadian banks 'stocks would be strong nest week. - $ TD chart http://www. tradingview.com/chart/TD/f6cdc ps4-Canadian-banks-stocks-would-be-strong-nest-week/ …";;;;"883304949295104001";https://twitter.com/Chenji77/status/883304949295104001
TITAN_TradingCA;2017-07-07 06:45;0;0;"$ TD , $ CM , $ RY , $ HCG , $ BNS , $ BMO Canada's banking regulator is tightening rules for mortgages, https://www. stockwatch.com/News/Item.aspx ?bid=Z-C:CM-2485407&symbol=CM&region=C …";;;;"883275802162466817";https://twitter.com/TITAN_TradingCA/status/883275802162466817
