username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
intercooleronli;2017-07-07 17:21;0;0;"Telefonica SA $ TEF Rating Increased to Strong-Buy at ValuEngine http:// ift.tt/2tRXvad";;;;"883435827002572801";https://twitter.com/intercooleronli/status/883435827002572801
dakotafinancial;2017-07-07 16:31;0;0;"Telefonica SA $ TEF Upgraded by ValuEngine to “Strong-Buy” http:// ift.tt/2sWk5cZ";;;;"883423251908657153";https://twitter.com/dakotafinancial/status/883423251908657153
akatifideas;2017-07-07 15:18;0;0;"$ TEF $ LB $ GPK Day traders should really check this out URL: http:// bit.ly/2uk8J3G pic.twitter.com/nnybzwivzj";;;;"883404824544387072";https://twitter.com/akatifideas/status/883404824544387072
TickerReport;2017-07-07 15:17;0;0;"Telefonica SA $ TEF Upgraded by ValuEngine to “Strong-Buy” http:// ift.tt/2uzV8q2";;;;"883404593752809472";https://twitter.com/TickerReport/status/883404593752809472
emq_news;2017-07-07 15:14;0;0;"Telefonica SA $ TEF Upgraded by ValuEngine to “Strong-Buy” http:// ift.tt/2u0Lxv9";;;;"883403823187763201";https://twitter.com/emq_news/status/883403823187763201
TickerReport;2017-07-07 15:13;0;0;"Telefonica SA $ TEF Upgraded by ValuEngine to “Strong-Buy” http:// ift.tt/2u0Lxv9";;;;"883403576596455424";https://twitter.com/TickerReport/status/883403576596455424
RatingsNetwork;2017-07-07 15:11;0;0;"Telefonica SA upgraded by ValuEngine to strong-buy. http:// ift.tt/2tz7hve $ TEF #TEF";;;#TEF;"883403046528598016";https://twitter.com/RatingsNetwork/status/883403046528598016
ATFinanzascom;2017-07-07 13:33;0;0;"Nueva posición alcista en valor del EuroStoxx50: $ TEF http://www. finanzas.com/cotizaciones/t elefonica/analisis-tecnico.html … pic.twitter.com/ZTPMXasr6Q";;;;"883378438668775425";https://twitter.com/ATFinanzascom/status/883378438668775425
ATFinanzascom;2017-07-07 13:10;0;0;"Nueva posición alcista en valor del IBEX35: $ TEF http://www. finanzas.com/cotizaciones/t elefonica/analisis-tecnico.html … pic.twitter.com/rqdFPVO4fn";;;;"883372652613840896";https://twitter.com/ATFinanzascom/status/883372652613840896
RatingsNetwork;2017-07-07 06:11;0;0;"Telefonica SA given €8.90 PT by Barclays PLC. sell rating. http:// ift.tt/2tx2GcJ $ TEF #TEF";;;#TEF;"883267219911823360";https://twitter.com/RatingsNetwork/status/883267219911823360
RCat55;2017-07-06 13:19;46;3;"100% BUY on $ ERFB .0055 Accordant Communications is officially a Subsidiary of ERF WIRELESS $ VZ $ TEF $ AMOV $ CHA $ NTT $ T $ CHL HUGE BUY";;;;"883012551503732737";https://twitter.com/RCat55/status/883012551503732737
DailyStockPlays;2017-07-06 12:12;0;0;"$ TEF Oversold http://www. dailystockplays.com/TEF-Stock-Pric e-Quote-After-Hours-Premarket-Trading.html …";;;;"882995684143771648";https://twitter.com/DailyStockPlays/status/882995684143771648
TranscriptDaily;2017-07-06 10:15;0;0;"Liberty Mutual Group Asset Management Inc. Buys Shares of 38,800 Telefonica SA $ TEF http:// ift.tt/2sQ5nV0";;;;"882966353145188352";https://twitter.com/TranscriptDaily/status/882966353145188352
rodriguezjoma;2017-07-06 04:18;7;10;"Y #Telefónica (semanal), en 'soportazo'. $ TEF pic.twitter.com/nsp8RjQmYO";;;#Telef;"882876386251333632";https://twitter.com/rodriguezjoma/status/882876386251333632
VICTORLEONARDIB;2017-07-06 03:15;0;0;"$ TEF Pierde los 9€ -0,37% pic.twitter.com/oZIj1KXl5B";;;;"882860575725899777";https://twitter.com/VICTORLEONARDIB/status/882860575725899777
VICTORLEONARDIB;2017-07-06 03:05;0;0;"$ TEF +0,09% pic.twitter.com/tp3Buzzvwz";;;;"882858085223714816";https://twitter.com/VICTORLEONARDIB/status/882858085223714816
pennyomegaCRWE;2017-07-05 19:16;0;0;"IoT Solutions World Congress to Host its Biggest Edition - $ TEF , $ ORAN , $ VOD , $ WIT , $ PTC , $ RHT , $ ACN , $ INTC , $ ADI http:// crweworld.com/newsroom/prnew swire?rkey=20170705enUK201707037322&filter=10284 …";;;;"882739874691928064";https://twitter.com/pennyomegaCRWE/status/882739874691928064
SAlphaTech;2017-07-05 16:30;0;0;"Telefonica: Do Not Pick Up This Telecom Provider https:// seekingalpha.com/article/408568 4-telefonica-pick-telecom-provider?source=feed_tags … $ ORAN $ VOD $ TEF";;;;"882698105094680576";https://twitter.com/SAlphaTech/status/882698105094680576
TheMarketsDaily;2017-07-05 14:02;0;0;"Somewhat Positive Media Coverage Unlikely to Affect Telefonica SA $ TEF Stock Price http:// zpr.io/PdFWi";;;;"882660854101135364";https://twitter.com/TheMarketsDaily/status/882660854101135364
ZolmaxNews;2017-07-05 12:48;0;0;"Somewhat Positive Media Coverage Unlikely to Affect Telefonica SA $ TEF Stock Price http:// ift.tt/2tJbqzd";;;;"882642351268786176";https://twitter.com/ZolmaxNews/status/882642351268786176
VICTORLEONARDIB;2017-07-05 11:36;0;3;"$ TEF #Telefonica cierre - 1,36% pic.twitter.com/bxNcnVTdWX";;;#Telefonica;"882624149600047104";https://twitter.com/VICTORLEONARDIB/status/882624149600047104
VICTORLEONARDIB;2017-07-05 11:23;0;3;"$ Ibex -0,20% $ TEF -0,93% $ SAN -0,10% Marcando rumbo pic.twitter.com/cAHruSPSml";;;;"882620989221339138";https://twitter.com/VICTORLEONARDIB/status/882620989221339138
dakotafinancial;2017-07-05 10:07;0;0;"Cambridge Investment Research Advisors Inc. Lowers Position in Telefonica SA $ TEF http:// ift.tt/2uJN9FN";;;;"882601775475429376";https://twitter.com/dakotafinancial/status/882601775475429376
StockTradePicks;2017-07-05 09:14;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ S $ LNG $ CSIQ $ SINA $ TEF $ DLTR $ BRCD $ XLNX $ WATT $ PSA";;;;"882588422438658049";https://twitter.com/StockTradePicks/status/882588422438658049
ZolmaxNews;2017-07-05 07:43;0;0;"Cambridge Investment Research Advisors Inc. Lowers Position in Telefonica SA $ TEF http:// ift.tt/2uJwp1z";;;;"882565675851677696";https://twitter.com/ZolmaxNews/status/882565675851677696
VICTORLEONARDIB;2017-07-05 03:45;0;1;"$ TEF #Telefonica en zona delicada MM 200 -0,00% pic.twitter.com/cNBrJOhNZt";;;#Telefonica;"882505788778049536";https://twitter.com/VICTORLEONARDIB/status/882505788778049536
pfarrian;2017-07-04 18:26;0;0;"Telefonica: Do Not Pick Up This Telecom Provider $ TEF food for thoughts, not everything is Alice.... http://www. seekingalpha.com/article/4085684";;;;"882365114292334593";https://twitter.com/pfarrian/status/882365114292334593
mejor_inversion;2017-07-04 17:45;0;0;"#PanelGeneral | Lo mejor: $ INAG +8.43▲; $ TEF +5.11▲; $ RIGO +3.33▲";;;#PanelGeneral;"882354628628811777";https://twitter.com/mejor_inversion/status/882354628628811777
SAlphaTech;2017-07-04 16:13;0;0;"Telefonica: Do Not Pick Up This Telecom Provider https:// seekingalpha.com/article/408568 4-telefonica-pick-telecom-provider?source=twitter_salphatech … $ ORAN $ VOD $ TEF";;;;"882331599416643584";https://twitter.com/SAlphaTech/status/882331599416643584
SeekingAlpha;2017-07-04 16:13;1;0;"Telefonica: Do Not Pick Up This Telecom Provider https:// seekingalpha.com/article/408568 4-telefonica-pick-telecom-provider?source=feed_f … $ ORAN $ VOD $ TEF";;;;"882331598154158080";https://twitter.com/SeekingAlpha/status/882331598154158080
VICTORLEONARDIB;2017-07-03 18:52;1;2;"$ SAN #SANTANDER La AK del 09/01/2015 $ SAN -14% $ Ibex -4,70% $ TEF -3,62% $ BBVA -4,80% En aquel entonces SAN fue suspendida de cotización pic.twitter.com/Sn66h9Faf8";;;#SANTANDER;"882009230819155969";https://twitter.com/VICTORLEONARDIB/status/882009230819155969
storminvestor;2017-07-03 15:00;0;0;"Telefonica $ TEF versus Cincinnati Bell $ CBB Head-To-Head Analysis http:// ift.tt/2uiKrro";;;;"881950741161705473";https://twitter.com/storminvestor/status/881950741161705473
SPNewsAnalysis;2017-07-03 14:56;0;0;"Telefonica $ TEF versus Cincinnati Bell $ CBB Head-To-Head Analysis http:// ift.tt/2sFQk01";;;;"881949745224310785";https://twitter.com/SPNewsAnalysis/status/881949745224310785
ZolmaxNews;2017-07-03 14:49;0;0;"Telefonica $ TEF versus Cincinnati Bell $ CBB Head-To-Head Analysis http:// ift.tt/2tJHzXQ";;;;"881948048674443264";https://twitter.com/ZolmaxNews/status/881948048674443264
ATFinanzascom;2017-07-03 13:35;0;0;"Nueva posición alcista en valor del EuroStoxx50: $ TEF http://www. finanzas.com/cotizaciones/t elefonica/analisis-tecnico.html … pic.twitter.com/kL8xvG5NyJ";;;;"881929422273753090";https://twitter.com/ATFinanzascom/status/881929422273753090
Stock_News_Now;2017-07-03 12:07;0;0;"$ TEF : New SEC Filing for TEF: Form 25-NSE (No. 0000876661-17-000377): http:// stocknewsflow.com/814052_0000876 66117000377_0000876661-17-000377 …";;;;"881907140176224256";https://twitter.com/Stock_News_Now/status/881907140176224256
StockTradePicks;2017-07-03 09:14;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ S $ LNG $ CSIQ $ SINA $ TEF $ DLTR $ BRCD $ XLNX $ WATT $ PSA";;;;"881863706933551105";https://twitter.com/StockTradePicks/status/881863706933551105
DailyStockPlays;2017-07-02 20:27;0;0;"$ TEF Oversold http://www. dailystockplays.com/TEF-Stock-Pric e-Quote-After-Hours-Premarket-Trading.html …";;;;"881670658761121792";https://twitter.com/DailyStockPlays/status/881670658761121792
octaviorisso;2017-07-02 18:44;0;1;"Si pero cuanto es de las ganancias de $ tef el negocio argentino. Si compras $ tef estas comprando telefónica LATAM+Europa.";;;;"881644876575780864";https://twitter.com/octaviorisso/status/881644876575780864
StockTradePicks;2017-07-02 15:15;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ S $ LNG $ CSIQ $ SINA $ TEF $ DLTR $ BRCD $ XLNX $ WATT $ PSA";;;;"881592235774672897";https://twitter.com/StockTradePicks/status/881592235774672897
PrivateCapBlog;2017-07-02 12:03;0;0;"Telecom Argentina, Cablevisión to merge into broadband leader $ TEO $ AMX $ TEF http://www. seekingalpha.com/news/3276649";;;;"881543827370237953";https://twitter.com/PrivateCapBlog/status/881543827370237953
JavierAlfayate;2017-07-02 11:58;12;15;"Analizando $ ITX - Inditex, $ TEF - Telefónica, $ SAN - B. Santander y $ BBVA - BBVA http:// accionesdebolsa.com/analizando-ind itex-telefonica-b-santander-y-bbva.html …";;;;"881542650461073410";https://twitter.com/JavierAlfayate/status/881542650461073410
PaulSchneiderPR;2017-07-02 06:10;0;0;"Telecom Argentina, Cablevisión to merge into broadband leader https:// seekingalpha.com/news/3276649-t elecom-argentina-cablevision-merge-broadband-leader?source=tweet … $ TEO $ AMX $ TEF";;;;"881454947912568832";https://twitter.com/PaulSchneiderPR/status/881454947912568832
pfarrian;2017-07-02 01:26;0;0;"Telecom Argentina, Cablevisión to merge into broadband leader $ TEO $ AMX $ TEF http://www. seekingalpha.com/news/3276649";;;;"881383498694750209";https://twitter.com/pfarrian/status/881383498694750209
sitifatimahnet;2017-07-01 19:03;0;0;"Telecom Argentina, Cablevisión to merge into broadband leader https:// seekingalpha.com/news/3276649-t elecom-argentina-cablevision-merge-broadband-leader?source=feed_f … $ TEO $ AMX $ TEF #sitifatimah #malaysia #financialplan …";;;#sitifatimah #malaysia #financialplan;"881287159751348224";https://twitter.com/sitifatimahnet/status/881287159751348224
SEEKINGALPHA_FS;2017-07-01 18:55;0;0;"Telecom Argentina, Cablevisión to merge into broadband leader https:// seekingalpha.com/news/3276649-t elecom-argentina-cablevision-merge-broadband-leader?source=twitter_sa_factset … $ TEO $ AMX $ TEF";;;;"881285120207933440";https://twitter.com/SEEKINGALPHA_FS/status/881285120207933440
