username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlpacaAlerts;2017-07-07 22:51;0;0;"$ TMUS is in Stochastic Oversold winning 69.70% in the past. https:// goo.gl/hY3Sk4 pic.twitter.com/OkKWD7tuRr";;;;"883518756290514945";https://twitter.com/AlpacaAlerts/status/883518756290514945
WappCap;2017-07-07 19:40;0;0;"@TMobileIR nears 1,000 store openings this year $ TMUS , averaging about 14 store openings per day over the past three weeks.";;@TMobileIR;;"883470885692334082";https://twitter.com/WappCap/status/883470885692334082
TrackerLed;2017-07-07 19:39;0;0;"http:// smq.tc/2byhce4 *FREE* weekly trade updates with millionaire ETF trader Jeff Bishop!!! $ TMUS $ EOG $ PXD";;;;"883470514785730560";https://twitter.com/TrackerLed/status/883470514785730560
MaglanCapital;2017-07-07 19:24;4;15;"$ GSAT #GlobalStar Sum of Parts Valuation $10++ Buyers #FANG $ FB $ AMZN $ NFLX $ GOOG $ AAPL $ MSFT $ T $ VZ $ S $ TMUS $ CHTR $ CMCSA #SpectrumIsKing pic.twitter.com/PZxxufkLdS";;;#GlobalStar #FANG #SpectrumIsKing;"883466748623716352";https://twitter.com/MaglanCapital/status/883466748623716352
sitifatimahnet;2017-07-07 18:17;0;0;"T-Mobile nears 1,000 store openings this year https:// seekingalpha.com/news/3277581-t -mobile-nears-1000-store-openings-year?source=feed_f … $ TMUS #sitifatimah #malaysia #financialplanning";;;#sitifatimah #malaysia #financialplanning;"883449828268748800";https://twitter.com/sitifatimahnet/status/883449828268748800
SEEKINGALPHA_FS;2017-07-07 18:15;0;0;"T-Mobile nears 1,000 store openings this year https:// seekingalpha.com/news/3277581-t -mobile-nears-1000-store-openings-year?source=twitter_sa_factset … $ TMUS";;;;"883449475238313986";https://twitter.com/SEEKINGALPHA_FS/status/883449475238313986
SAlphaTech;2017-07-07 18:15;0;0;"T-Mobile nears 1,000 store openings this year https:// seekingalpha.com/news/3277581-t -mobile-nears-1000-store-openings-year?source=twitter_salphatech … $ TMUS";;;;"883449474160312320";https://twitter.com/SAlphaTech/status/883449474160312320
MarketCurrents;2017-07-07 18:15;0;1;"T-Mobile nears 1,000 store openings this year https:// seekingalpha.com/news/3277581-t -mobile-nears-1000-store-openings-year?source=feed_f … $ TMUS";;;;"883449472952352769";https://twitter.com/MarketCurrents/status/883449472952352769
SwingTradeBot;2017-07-07 17:23;0;0;"Scan results - Bullish Engulfing today: $ SNN $ IRBT $ SKM $ HFC $ TMUS $ PETS $ ORCL $ IMAX $ FCPT $ WING ... https:// swingtradebot.com/events/13/equi ties?selected_date=2017-07-07 …";;;;"883436244109275136";https://twitter.com/SwingTradeBot/status/883436244109275136
JorelLaraKalel;2017-07-07 17:17;0;0;"7 A-Rated Stocks That Look Their Summer Best http:// bit.ly/2uTzE6z http:// bit.ly/ChipsTTS $ STZ $ NVDA $ MCHP $ TMUS $ NTRI $ ROG $ HSKA";;;;"883434906772271105";https://twitter.com/JorelLaraKalel/status/883434906772271105
TechTraderAI;2017-07-07 16:16;0;0;"Top gain today from - $ ESV (6%). Bought $ BBL , $ TMUS , $ TMO . Shorted $ QSR , $ NCR . Sold $ WUBA (+10.2%). 90% long by 41%… https://www. techtrader.ai/wall/?date=149 9457357&post=10242 … pic.twitter.com/xLesCXNGYJ";;;;"883419509612175360";https://twitter.com/TechTraderAI/status/883419509612175360
bluff_capital;2017-07-07 15:44;0;0;"$ T , $ VZ , $ TMUS pic.twitter.com/ITzyCp5ZqG";;;;"883411472960946176";https://twitter.com/bluff_capital/status/883411472960946176
StocksThatDoubl;2017-07-07 14:52;0;0;"http:// BiloSelhi.com members have an advantage. SEE TRACK RECORD pic.twitter.com/7MJOSawfOB $ TMUS $ LUV $ CTL $ WY $ DOW $ JAH";;;;"883398448824832001";https://twitter.com/StocksThatDoubl/status/883398448824832001
MarketRealist;2017-07-07 14:46;0;0;"Can Sprint Connect with Expectations in Fiscal 1Q17? http://marketrealist.com?p=2189306 marketrealist.com/?p=2189306 $ S $ T $ VZ $ TMUS";;;;"883396792200462337";https://twitter.com/MarketRealist/status/883396792200462337
dailypoliticaln;2017-07-07 14:37;0;0;"T-Mobile US $ TMUS Earns Media Impact Score of 0.18 http:// ift.tt/2tRj2iW";;;;"883394473559900161";https://twitter.com/dailypoliticaln/status/883394473559900161
