username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Justwonmore;2017-07-07 23:59;4;8;"Congrats Internet. Score another hit against #CNNBlackmail as giant Time Warner $ TWX signaled a clear sell signal today. #MAGA #CNNIsIsis pic.twitter.com/rECB8Iu9pf";;;#CNNBlackmail #MAGA #CNNIsIsis;"883535913405435905";https://twitter.com/Justwonmore/status/883535913405435905
endoexprt;2017-07-07 23:37;0;1;"LOL #CNN #FakeNewsCNN #CNNBlackmail $ TWX is officially a short now https:// twitter.com/WilliamShatner /status/883481473948438530 …";;;#CNN #FakeNewsCNN #CNNBlackmail;"883530481383297024";https://twitter.com/endoexprt/status/883530481383297024
platapepe70;2017-07-07 21:10;0;0;"Mid-day TOP of range: $ LOW 99, $ CC 97, $ TWX 88, $ DHI $ PHM 86, $ FE 84, $ NKE 80, $ SYY 79, $ LUV 77, $ AU $ KBH 73, $ HUN 71, $ CAT $ TJX 69";;;;"883493480013672449";https://twitter.com/platapepe70/status/883493480013672449
SPNewsAnalysis;2017-07-07 19:22;0;0;"Time Warner Inc. $ TWX Given “Overweight” Rating at Morgan Stanley http:// ift.tt/2tzyVrK";;;;"883466302102413313";https://twitter.com/SPNewsAnalysis/status/883466302102413313
dakotafinancial;2017-07-07 18:41;0;0;"Favorable Press Coverage Somewhat Likely to Impact Time Warner $ TWX Share Price http:// ift.tt/2tSvQ8O";;;;"883455865650638848";https://twitter.com/dakotafinancial/status/883455865650638848
TheMarketsDaily;2017-07-07 17:37;0;0;"Harvest Fund Management Co. Ltd Continues to Hold Position in Time Warner Inc. $ TWX http:// zpr.io/PdQFv";;;;"883439912707641344";https://twitter.com/TheMarketsDaily/status/883439912707641344
MarketRealist;2017-07-07 17:10;0;0;"What's Driven 21st Century Fox's Rise in the Past Month? http://marketrealist.com?p=2189310 marketrealist.com/?p=2189310 $ FOXA $ NFLX $ GOOG $ TWX";;;;"883432941711437824";https://twitter.com/MarketRealist/status/883432941711437824
dexoidan;2017-07-07 16:22;0;0;"$ TWX Todays trading with Time Warner Inc. for $101.2 on date July 07, 2017. #Finance";;;#Finance;"883420981783560196";https://twitter.com/dexoidan/status/883420981783560196
JDRother80;2017-07-07 16:15;0;0;"$ TWX $ S $ SC This Watch List tells you about all stocks trading with catalysts and volume URL: http:// bit.ly/2ujXOqR pic.twitter.com/XL5M3kBRs7";;;;"883419178203578368";https://twitter.com/JDRother80/status/883419178203578368
MinteractApp;2017-07-07 16:06;0;0;"Today's million dollar PUT #options trade: $ TWX $ TSLA $ AZO $ NEM $ SHOP $ STX $ AMZN $ REGN $ C $ INTC $ Z ... https:// appsto.re/i6hH3LG";;;#options;"883416857205768194";https://twitter.com/MinteractApp/status/883416857205768194
iBankCoin4tw;2017-07-07 16:05;1;1;"#CNNBlackmail #CNNMemeWar $ TWX https:// twitter.com/ZeroPointNow/s tatus/883250512799420418 …";;;#CNNBlackmail #CNNMemeWar;"883416710711173120";https://twitter.com/iBankCoin4tw/status/883416710711173120
SleekMoneycom;2017-07-07 15:06;0;0;"Favorable Press Coverage Somewhat Likely to Impact Time Warner $ TWX Share Price http:// ift.tt/2tVjzjI";;;;"883401895888302080";https://twitter.com/SleekMoneycom/status/883401895888302080
PhillipTurner0;2017-07-07 14:48;0;0;"$ TWTR $ TWX $ ETH If you day trade, you must have this URL: http:// bit.ly/2tmizVD pic.twitter.com/RR5223oGNZ";;;;"883397248490512385";https://twitter.com/PhillipTurner0/status/883397248490512385
DowdEdward;2017-07-07 14:30;17;22;"$ TWX is $101.29 currently. At $89 the implied valuation of CNN by the market will be zero...keep tweeting Jim...keep tweeting. #ATTDeal https:// twitter.com/acosta/status/ 883330715076755458 …";;;#ATTDeal;"883392766469963776";https://twitter.com/DowdEdward/status/883392766469963776
WatchlistN;2017-07-07 14:02;0;0;"Time Warner Inc. $ TWX Given “Overweight” Rating at Morgan Stanley http:// ift.tt/2u0D3UG";;;;"883385721473703936";https://twitter.com/WatchlistN/status/883385721473703936
dailypoliticaln;2017-07-07 13:26;0;0;"Financial Review: Time Warner $ TWX & The Madison Square Garden Company $ MSG http:// ift.tt/2sVG7wl";;;;"883376635533307907";https://twitter.com/dailypoliticaln/status/883376635533307907
insidermonkey;2017-07-07 13:07;0;0;"10 Most Successful Holding Companies in the US $ GOOGL , $ BRK.A , $ CB , $ JPM , $ MCD , $ NKE , $ SBUX , $ TWX , $ DIS , $ WFC http://www. insidermonkey.com/blog/10-most-s uccessful-holding-companies-in-the-us-587693/?utm_source=Twitter&utm_medium=Social&utm_campaign=dnan …";;;;"883371923350147073";https://twitter.com/insidermonkey/status/883371923350147073
MinteractApp;2017-07-07 13:01;0;0;"Today's million dollar PUT #options trade update: $ TWX $ TSLA $ AZO $ NEM $ SHOP $ STX $ AMZN $ REGN $ C ... https:// appsto.re/i6hH3LG";;;#options;"883370318613684225";https://twitter.com/MinteractApp/status/883370318613684225
UnCommonMnA;2017-07-07 12:52;0;0;"@amyklobuchar probing improper WHO involvement in @JusticeATR review of $ TWX / $ T deal. Would like to see the same @FTC for $ WFM / $ AMZN";;@amyklobuchar @JusticeATR @FTC;;"883368044205965313";https://twitter.com/UnCommonMnA/status/883368044205965313
DividendMaster;2017-07-07 12:39;0;0;"@CNN is going to hurt $ T / $ TWX like $ ESPN is doing to $ DIS http://www. zerohedge.com/news/2017-07-0 7/will-horrendous-cnn-ratings-advertiser-boycotts-and-4chans-memetic-war-destroy-bill …";;@CNN;;"883364987875586048";https://twitter.com/DividendMaster/status/883364987875586048
SEEKINGALPHA_FS;2017-07-07 12:26;0;0;"Is AT&T About To Take Out A New Low? https:// seekingalpha.com/article/408632 5-t-take-new-low?source=twitter_sa_factset … $ TWX $ VZ $ T";;;;"883361511334330369";https://twitter.com/SEEKINGALPHA_FS/status/883361511334330369
SAlphaTech;2017-07-07 12:26;0;0;"Is AT&T About To Take Out A New Low? https:// seekingalpha.com/article/408632 5-t-take-new-low?source=twitter_salphatech … $ TWX $ VZ $ T";;;;"883361510231121921";https://twitter.com/SAlphaTech/status/883361510231121921
SeekingAlpha;2017-07-07 12:26;0;0;"Is AT&T About To Take Out A New Low? https:// seekingalpha.com/article/408632 5-t-take-new-low?source=feed_f … $ TWX $ VZ $ T";;;;"883361507790135297";https://twitter.com/SeekingAlpha/status/883361507790135297
newswelldone;2017-07-07 12:13;0;0;"$ TWX $ T : Hulu subscribers can now get HBO, just in time for ‘Game of Thrones …: http://www. StockNewsWires.com/twx-t-hulu-sub scribers-can-now-get-hbo-just-in-time-for-game-of-thrones/ …";;;;"883358252305489920";https://twitter.com/newswelldone/status/883358252305489920
KKNoMates;2017-07-07 12:08;0;0;"Will Horrendous CNN Ratings, Boycotts & 4Chan's Meme War Destroy Billions In Time Warner Value? #CNNBlackmail $ TWX http://www. zerohedge.com/news/2017-07-0 7/will-horrendous-cnn-ratings-advertiser-boycotts-and-4chans-memetic-war-destroy-billi …";;;#CNNBlackmail;"883357100642009090";https://twitter.com/KKNoMates/status/883357100642009090
JorelLaraKalel;2017-07-07 11:50;0;0;"Can 'Spider-Man: Homecoming' Revive Sony's Key Franchise and Save Summer? $ SNE $ DIS http:// bit.ly/2tQNKsR $ CMCSA $ TWX $ VIAB $ FOXA";;;;"883352469522329601";https://twitter.com/JorelLaraKalel/status/883352469522329601
newswelldone;2017-07-07 11:23;0;0;"$ TWX : It took a virtually unheard of industry collaboration to bring Spider …: http://www. StockNewsWires.com/twx-it-took-a- virtually-unheard-of-industry-collaboration-to-bring-spider/ …";;;;"883345669246693376";https://twitter.com/newswelldone/status/883345669246693376
notyourcountry;2017-07-07 11:00;1;2;"Finally! #AlienCovenant is now online in HD for free $ nflx $ amzn $ aapl $ twx $ ottv #ottv https:// gomovies.is/film/alien-cov enant-20819/ … @OCMillionaire pic.twitter.com/f2THwVlXB7";;@OCMillionaire;#AlienCovenant #ottv;"883339925822689280";https://twitter.com/notyourcountry/status/883339925822689280
