username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DailyStockPlays;2017-07-08 03:10;0;0;"Large Call Buyers http://www. dailystockplays.com/Unusual-Call-O ption-Activity-Today-2017-07-07.html … $ KHC $ WFT $ OCUL $ YUMC $ TNA $ SSO $ BUD $ AZN $ UAL $ SLV $ T $ STM $ HES $ AKS $ FEYE $ SWN $ AMAT $ DAL $ APA";;;;"883584113172774912";https://twitter.com/DailyStockPlays/status/883584113172774912
politicalHEDGE;2017-07-08 01:53;0;1;"Curated 05/06/2017 @http:// Covfefe.bz | Come Fly the Unfriendly Skies $ UAL $ AAL https:// hedgeaccordingly.com/2017/05/come-f ly-the-unfriendly-skies-ual-aal.html …";;@http;;"883564591606792192";https://twitter.com/politicalHEDGE/status/883564591606792192
politicalHEDGE;2017-07-08 00:53;0;1;"Curated 04/20/2017 @http:// Covfefe.bz | United commercial draws laughter at Tribeca Film Festival $ UAL https:// hedgeaccordingly.com/2017/04/united -commercial-draws-laughter-at-tribeca-film-festival-ual.html …";;@http;;"883549492129214464";https://twitter.com/politicalHEDGE/status/883549492129214464
politicalHEDGE;2017-07-08 00:23;1;2;"Curated 04/10/2017 @http:// Covfefe.bz | WATCH: Man forcibly removed from overbooked United flight $ UAL https:// hedgeaccordingly.com/2017/04/watch- man-forcibly-removed-from-overbooked-united-flight-ual.html …";;@http;;"883541945733218305";https://twitter.com/politicalHEDGE/status/883541945733218305
reelEricJay;2017-07-07 22:11;0;0;"year ago $ ual cxcld austin to Ord told to stay at my hotel again. Sent me 65 voucher. Told me that was the rate. No adjstments.";;;;"883508783221276672";https://twitter.com/reelEricJay/status/883508783221276672
FinInvTr;2017-07-07 22:09;0;0;"Buffett Likes Airlines. Will Low Oil Keep The Tailwinds Going? $ DAL $ UAL $ LUV http:// buff.ly/2u19Bhz";;;;"883508186090786816";https://twitter.com/FinInvTr/status/883508186090786816
Sw1ng_Trader;2017-07-07 21:47;0;0;"http:// smq.tc/1TmtlAr <-- FREE access to a Tim Sykes premium video lesson usually only for subscribers! $ FXE $ UAL $ LNG";;;;"883502729548648448";https://twitter.com/Sw1ng_Trader/status/883502729548648448
FZucchi;2017-07-07 21:13;0;0;"2/2 So far got $20 voucher from $ UAL for 11:40hrs delay, but when she asked 2change flight it'd cost $250. There's a lawsuit somewhere there";;;;"883494234623537152";https://twitter.com/FZucchi/status/883494234623537152
FZucchi;2017-07-07 21:10;0;0;"My daughter been waiting for 11:40hrs at Logan for her $ UAL flight to Houston for "mechanical" reasons. 1/2";;;;"883493457112825856";https://twitter.com/FZucchi/status/883493457112825856
OptionsMaxPain;2017-07-07 20:59;0;0;"#Options #maxpain chart for $ UAL . Free options app http://www. mystockstation.com / pic.twitter.com/HmlbxnPQwz";;;#Options #maxpain;"883490591681785856";https://twitter.com/OptionsMaxPain/status/883490591681785856
