username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dailypoliticaln;2017-07-07 13:08;0;0;"Curbstone Financial Management Corp Has $412,000 Stake in Unilever NV $ UN http:// ift.tt/2uSNqXp";;;;"883372182730149889";https://twitter.com/dailypoliticaln/status/883372182730149889
joeposset;2017-07-07 12:07;3;3;"Rooting For Barnacles: RFM on Power Moves, Stef Ketteringham, $ un $keletons & Star Turbine https:// radiofreemidwich.wordpress.com / @CrowVersusCrow pic.twitter.com/PPvCy2cUfh";;@CrowVersusCrow;;"883356686743879681";https://twitter.com/joeposset/status/883356686743879681
QuantchaIdeas;2017-07-07 10:28;0;0;"Price Target Alert: Trading the Zacks price target change for UNILEVER $ UN http:// ideas.quantcha.com/2017/07/07/pri ce-target-alert-trading-the-zacks-price-target-change-for-unilever-un/ … pic.twitter.com/keTenVdB87";;;;"883331963016421376";https://twitter.com/QuantchaIdeas/status/883331963016421376
SleekMoneycom;2017-07-07 07:41;0;0;"KCG Holdings Inc. Has $611,000 Position in Unilever NV $ UN http:// ift.tt/2tovfur";;;;"883289825142611968";https://twitter.com/SleekMoneycom/status/883289825142611968
emq_news;2017-07-07 07:24;0;0;"Liberty Mutual Group Asset Management Inc. Invests $405,000 in Unilever NV $ UN http:// ift.tt/2swPmUv";;;;"883285557018865667";https://twitter.com/emq_news/status/883285557018865667
longliveRRRadio;2017-07-06 21:11;0;1;"#NP on #WRRR Peter $ un (. @HolaPedroxx ) - All For It https:// tinyurl.com/h4upx78";;@HolaPedroxx;#NP #WRRR;"883131198620524544";https://twitter.com/longliveRRRadio/status/883131198620524544
WPTSPlaylist;2017-07-06 21:09;0;1;"Peter $ un - American Spirit";;;;"883130837469986818";https://twitter.com/WPTSPlaylist/status/883130837469986818
goldsoullll;2017-07-06 20:45;1;3;"$ un $hine mixtape dropping soon @_ayeeitslexxii pic.twitter.com/i4XLv3kUpP";;@_ayeeitslexxii;;"883124837853544448";https://twitter.com/goldsoullll/status/883124837853544448
briisinterlude;2017-07-06 20:24;1;0;"Listen to Visine ft C.Smooth by Black $ un performing this Live at Warehouse Live July 20th get your tickets HMU. https:// soundcloud.com/hammed-flyguy- sunmonu/visine-ft-csmooth …";;;;"883119582382313472";https://twitter.com/briisinterlude/status/883119582382313472
joeposset;2017-07-06 12:06;1;2;"Rooting For Barnacles: RFM on Power Moves, Stef Ketteringham, $ un $keletons & Star Turbine https:// radiofreemidwich.wordpress.com / @PowerMovesLabel pic.twitter.com/Zc0NCrdqEA";;@PowerMovesLabel;;"882994047639408640";https://twitter.com/joeposset/status/882994047639408640
STNOBIO;2017-07-05 20:34;0;1;"Same here...honestly I'm not overly concerned, the whole group has been battered lately $ CL $ GIS $ K $ UN etc.";;;;"882759726509027328";https://twitter.com/STNOBIO/status/882759726509027328
RatingsNetwork;2017-07-05 18:03;0;0;"Get the latest ratings for $ UN $ TM $ TLM $ VPG $ AXU in your inbox with MarketBeat Daily http:// bit.ly/arndailyw";;;;"882721625052983296";https://twitter.com/RatingsNetwork/status/882721625052983296
activiststocks;2017-07-05 16:55;0;1;"Nestle: Overseas Activism Has Overhangs http:// ow.ly/YmOn30dlK9q $ NSRGY $ GIS $ HSY $ MDLZ $ KHC $ UN $ LRLCF $ LRLCY $ JNJ $ PG $ ABT";;;;"882704414695358466";https://twitter.com/activiststocks/status/882704414695358466
millennialinvst;2017-07-05 16:05;0;0;"Nestle: Overseas Activism Has Overhangs http:// ow.ly/YmOn30dlK9q $ NSRGY $ GIS $ HSY $ MDLZ $ KHC $ UN $ LRLCF $ LRLCY $ JNJ $ PG $ ABT";;;;"882691877040009216";https://twitter.com/millennialinvst/status/882691877040009216
fourifbyair;2017-07-05 16:05;0;0;"Nestle: Overseas Activism Has Overhangs http:// ow.ly/YmOn30dlK9q $ NSRGY $ GIS $ HSY $ MDLZ $ KHC $ UN $ LRLCF $ LRLCY $ JNJ $ PG $ ABT";;;;"882691854927626244";https://twitter.com/fourifbyair/status/882691854927626244
haochxn;2017-07-05 15:40;0;0;"só quem tá seguindo ele é a $ un e aknow";;;;"882685657730215937";https://twitter.com/haochxn/status/882685657730215937
BlackSunGold_;2017-07-05 15:10;2;1;"Listen to Visine ft C.Smooth by Black $ un performing this Live at Warehouse Live July 20th get your tickets HMU https:// soundcloud.com/hammed-flyguy- sunmonu/visine-ft-csmooth …";;;;"882678169765126144";https://twitter.com/BlackSunGold_/status/882678169765126144
joeposset;2017-07-05 12:05;0;1;"Rooting For Barnacles: RFM on Power Moves, Stef Ketteringham, $ un $keletons & Star Turbine https:// radiofreemidwich.wordpress.com / @inviscityrecs pic.twitter.com/DXIVFu3Nof";;@inviscityrecs;;"882631411513135104";https://twitter.com/joeposset/status/882631411513135104
soulpublicradio;2017-07-05 10:25;0;0;"Yamin Semali - ¥ellow $ un #NowPlaying #SoulPublicRadio http://www. soulpublicradio.com";;;#NowPlaying #SoulPublicRadio;"882606290157043712";https://twitter.com/soulpublicradio/status/882606290157043712
StockTradePicks;2017-07-05 09:11;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ IBM $ SSYS $ GMCR $ ADM $ TSM $ NBL $ STEM $ UN $ BOFI $ RGSE";;;;"882587777254043649";https://twitter.com/StockTradePicks/status/882587777254043649
joeposset;2017-07-04 12:04;1;1;"Rooting For Barnacles: RFM on Power Moves, Stef Ketteringham, $ un $keletons & Star Turbine https:// radiofreemidwich.wordpress.com / @radiomidwich pic.twitter.com/nOG1C5xnIZ";;@radiomidwich;;"882268768533004288";https://twitter.com/joeposset/status/882268768533004288
SeekingAlpha;2017-07-04 11:49;1;2;"The Long Odds For Long Island Iced Tea https:// seekingalpha.com/article/408547 3-long-odds-long-island-iced-tea?source=feed_f … $ KO $ MNST $ NSRGY $ UN $ UL $ LTEA";;;;"882264996104634368";https://twitter.com/SeekingAlpha/status/882264996104634368
DilligentHITMAN;2017-07-03 22:55;0;1;"Listen to $ un $hine by Bullet Club 3017 #np on #SoundCloud https:// soundcloud.com/bullet-club-30 17/fresco-and-chase …";;;#np #SoundCloud;"882070396555735040";https://twitter.com/DilligentHITMAN/status/882070396555735040
ClayBMannone;2017-07-03 19:08;0;0;"<-- only one$ he know$ i$ phillipino DICKtator'$ 4:19 & the teaching$ of "the black $ un $ ociety "~KKK amerika...";;;;"882013229693648896";https://twitter.com/ClayBMannone/status/882013229693648896
meganeghost;2017-07-03 17:12;0;3;"This is the only photo of my Ruby cosplay that was taken this weekend Love Live $ un $shine pic.twitter.com/EYGO8HTWeI";;;;"881983922174701570";https://twitter.com/meganeghost/status/881983922174701570
BlackSunGold_;2017-07-03 17:11;1;1;"Listen to Visine ft C.Smooth by Black $ un #np on #SoundCloud https:// soundcloud.com/hammed-flyguy- sunmonu/visine-ft-csmooth …";;;#np #SoundCloud;"881983793468514304";https://twitter.com/BlackSunGold_/status/881983793468514304
