username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FinInvTr;2017-07-07 23:26;0;0;"Top Picks In Biotech $ BIB $ INCY $ REGN $ AET $ UNH $ CNC http:// buff.ly/2uPrV9U";;;;"883527741806714880";https://twitter.com/FinInvTr/status/883527741806714880
RatingsNetwork;2017-07-07 18:52;0;0;"McDonald's and KLA-Tencor rise while Hess and Haverty fall $ UNH http:// zpr.io/PeUPf";;;;"883458691336478720";https://twitter.com/RatingsNetwork/status/883458691336478720
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
ATFinanzascom;2017-07-07 17:11;0;0;"Nueva posición alcista en valor del DJIA: $ UNH http://www. finanzas.com/cotizaciones/u nitedhealth/analisis-tecnico.html … pic.twitter.com/miKM35Tir7";;;;"883433287494053888";https://twitter.com/ATFinanzascom/status/883433287494053888
Barchart;2017-07-07 16:34;0;1;"Solid June jobs report gets tech and consumer stocks jumping $ UNH https://www. barchart.com/social/share?t =Solid%20June%20jobs%20report%20gets%20tech%20and%20consumer%20stocks%20jumping&d=NEW%20YORK%20(AP)%20%E2%80%94%20U.S.%20stocks%20are%20climbing%20Friday%20after%20the%20government%20said%20hiring%20grew%20at%20a%20stronger%20pace%20in%20June.&i=https%3A%2F%2Fs3.amazonaws.com%2Fbarchart-news-media%2Fap%2F2f9d1440ed594f489649501b75857d7b%2Fe1d30d2be9ba4f98a5568ea49e94f6e2_new_york_stock_exchange_59018.jpg&r=https%3A%2F%2Fwww.barchart.com%2Fnews%2Ftop-stories%23%2Fnews%2F3130334%2Fsolid-june-jobs-report-gets-tech-and-consumer-stocks-jumping&du=false … via @Barchart";;@Barchart;;"883424097644011520";https://twitter.com/Barchart/status/883424097644011520
TipRanksFeed;2017-07-07 16:25;0;0;"5-star analyst Michael Wiederhorn from Oppenheimer reiterated a Buy on $ UNH . https://www. tipranks.com/analysts/micha el-wiederhorn …";;;;"883421766617583620";https://twitter.com/TipRanksFeed/status/883421766617583620
kyee;2017-07-07 16:02;0;0;"Took profits on $ UNH and $ X since the Trump election. Health insurance and steel are not long term holds now..";;;;"883415917270626304";https://twitter.com/kyee/status/883415917270626304
DozenStocks;2017-07-07 15:58;0;1;"Dow #Stocks Trend $ MSFT $ CAT $ INTC $ MRK $ DD $ BA $ CSCO $ AAPL $ IBM $ MCD $ JPM $ DIS $ UNH $ V $ HD $ TRV $ MMM $ AXP $ GS @http:// 12Stocks.com/dow";;@http;#Stocks;"883414968242130944";https://twitter.com/DozenStocks/status/883414968242130944
finzine;2017-07-07 15:35;0;0;"$ UNH Solid June jobs report gets tech and consumer stocks jumping https:// finance.yahoo.com/news/us-stocks -bounce-higher-solid-142044103.html …";;;;"883409166227918848";https://twitter.com/finzine/status/883409166227918848
MarginHunt;2017-07-07 15:35;0;0;"Cantor Fitzgerald reiterated UnitedHealth Group $ UNH at Buy. This P/E multiples model highlights discount http:// ow.ly/FI4130drKN6 pic.twitter.com/rZLxHzYQQ0";;;;"883409051517845505";https://twitter.com/MarginHunt/status/883409051517845505
