username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MoneyTradin;2017-07-08 03:11;0;0;"http:// smq.tc/1Hn6H5I Most popular stock trading learning tools $ ABX $ CY $ IBKR $ TAN $ XLK $ UNP $ SE";;;;"883584246614343680";https://twitter.com/MoneyTradin/status/883584246614343680
deepxdive;2017-07-07 16:23;0;0;"$ UNP Union Pacific Corp. – Value Analysis (NYSE UNP) July 5, 2017 https:// online.capitalcube.com/#!/stock/US/ex change/UNP/investment-analysis … pic.twitter.com/IzilhxBLjQ";;;#;"883421158409949184";https://twitter.com/deepxdive/status/883421158409949184
Stockerroo;2017-07-07 15:37;0;0;"http:// smq.tc/1LlBEKl NEED GUIDANCE WITH STOCK TRADING??? Checkout the Superman of the stock market! $ CPHD $ BIIB $ PCLN $ UNP";;;;"883409610001965056";https://twitter.com/Stockerroo/status/883409610001965056
RatingsNetwork;2017-07-07 15:32;0;0;"Coal train derails near Milwaukee; no one hurt $ UNP http:// zpr.io/PdWQw";;;;"883408510209462272";https://twitter.com/RatingsNetwork/status/883408510209462272
JorelLaraKalel;2017-07-07 15:09;0;1;"The 10 Safest Blue-Chip Dividends on Wall Street http:// bit.ly/2tqfuU2 $ JNJ $ TJX $ HD $ DIS $ MMM $ UTX $ UNP $ LMT $ TXN $ GD @investorplace";;@investorplace;;"883402705560944640";https://twitter.com/JorelLaraKalel/status/883402705560944640
SPNewsAnalysis;2017-07-07 14:52;0;0;"Union Pacific Corporation $ UNP Given Daily Coverage Optimism Rating of 0.27 http:// ift.tt/2sP5PHP";;;;"883398341089939456";https://twitter.com/SPNewsAnalysis/status/883398341089939456
storminvestor;2017-07-07 14:52;0;0;"Union Pacific Corporation $ UNP Given Daily Coverage Optimism Rating of 0.27 http:// ift.tt/2uTtUtM";;;;"883398338225225728";https://twitter.com/storminvestor/status/883398338225225728
storminvestor;2017-07-07 11:37;0;0;"FTB Advisors Inc. Has $5.01 Million Position in Union Pacific Corporation $ UNP http:// ift.tt/2uSQliE";;;;"883349167850094592";https://twitter.com/storminvestor/status/883349167850094592
followtheh;2017-07-07 11:36;0;0;"@hmeisler feel the same way about rails and $ UNP";;@hmeisler;;"883349098937675777";https://twitter.com/followtheh/status/883349098937675777
emq_news;2017-07-07 11:34;0;0;"Union Pacific Corporation $ UNP Given Daily Coverage Optimism Rating of 0.27 http:// ift.tt/2txW0Ly";;;;"883348571206152193";https://twitter.com/emq_news/status/883348571206152193
SPNewsAnalysis;2017-07-07 11:34;0;0;"FTB Advisors Inc. Has $5.01 Million Position in Union Pacific Corporation $ UNP http:// ift.tt/2uz6yua";;;;"883348423826698243";https://twitter.com/SPNewsAnalysis/status/883348423826698243
chaffeybreeze;2017-07-07 09:05;0;0;"Union Pacific Corporation $ UNP Shares Bought by Genesee Valley Trust Co. http:// ift.tt/2uyoMLZ";;;;"883311005064941568";https://twitter.com/chaffeybreeze/status/883311005064941568
IRAMarketReport;2017-07-07 09:05;0;0;"Union Pacific Corporation $ UNP Shares Bought by Genesee Valley Trust Co. http:// ift.tt/2uyoMLZ";;;;"883310941445779458";https://twitter.com/IRAMarketReport/status/883310941445779458
tickerws;2017-07-07 08:48;0;0;"Citi maintians Buy on $ UNP price target of $120.00.";;;;"883306681559654400";https://twitter.com/tickerws/status/883306681559654400
tickerws;2017-07-07 08:47;0;0;"$ UNP removed from Citi Focus List http:// bit.ly/2uy58jp";;;;"883306524453588992";https://twitter.com/tickerws/status/883306524453588992
dakotafinancial;2017-07-07 08:17;0;0;"American Century Companies Inc. Has $259.58 Million Position in Union Pacific Corporation $ UNP http:// ift.tt/2txLZ14";;;;"883299006792781824";https://twitter.com/dakotafinancial/status/883299006792781824
RatingsNetwork;2017-07-07 07:06;0;0;"Coal train derails; Wisconsin police say no threat to public $ UNP http:// zpr.io/Pdvm9";;;;"883281173367201793";https://twitter.com/RatingsNetwork/status/883281173367201793
emq_news;2017-07-07 04:44;0;0;"FUKOKU MUTUAL LIFE INSURANCE Co Has $318,000 Stake in Union Pacific Corporation $ UNP http:// ift.tt/2twWmBY";;;;"883245243012960256";https://twitter.com/emq_news/status/883245243012960256
TickerReport;2017-07-07 04:42;0;0;"FUKOKU MUTUAL LIFE INSURANCE Co Has $318,000 Stake in Union Pacific Corporation $ UNP http:// ift.tt/2twWmBY";;;;"883244798118854656";https://twitter.com/TickerReport/status/883244798118854656
WatchlistN;2017-07-07 04:42;0;0;"Investment Management of Virginia LLC Purchases 285 Shares of Union Pacific Corporation $ UNP http:// ift.tt/2swm0FJ";;;;"883244749993463811";https://twitter.com/WatchlistN/status/883244749993463811
