username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NewsToDesk;2017-07-07 20:11;0;0;"$ INTC $ UPS : Hiring surge: Big job announcements up 71 percent: http://www. StockNewsWires.com/intc-ups-hirin g-surge-big-job-announcements-up-71-percent/ …";;;;"883478490430832640";https://twitter.com/NewsToDesk/status/883478490430832640
8201786q;2017-07-07 19:08;0;0;"So $ amzn will buy $ ups";;;;"883462697324564480";https://twitter.com/8201786q/status/883462697324564480
chaffeybreeze;2017-07-07 14:44;0;0;"United Parcel Service, Inc. $ UPS Shares Bought by State of Wisconsin Investment Board http:// ift.tt/2sPfHBy";;;;"883396295536160774";https://twitter.com/chaffeybreeze/status/883396295536160774
IRAMarketReport;2017-07-07 14:42;0;0;"United Parcel Service, Inc. $ UPS Shares Bought by State of Wisconsin Investment Board http:// ift.tt/2sPfHBy";;;;"883395796216840192";https://twitter.com/IRAMarketReport/status/883395796216840192
courierlogi_ser;2017-07-07 14:27;0;0;"#UnitedParcelService to give new package handlers a big weekly bonus. Read more: http:// owler.us/acZuDf $ UPS";;;#UnitedParcelService;"883392070932549632";https://twitter.com/courierlogi_ser/status/883392070932549632
courierlogi_ser;2017-07-07 14:26;0;0;"#UnitedParcelService to give new package handlers a big weekly bonus. Read more: http:// owler.us/acZuDd $ UPS";;;#UnitedParcelService;"883391759967023104";https://twitter.com/courierlogi_ser/status/883391759967023104
canuck2usa;2017-07-07 14:00;0;3;"$ UPS looks like it wants to get going";;;;"883385209852276736";https://twitter.com/canuck2usa/status/883385209852276736
ProVesting;2017-07-07 13:33;0;0;"$ UPS : UPS to give new package handlers a big weekly bonus: http://www. StockNewsWires.com/ups-ups-to-giv e-new-package-handlers-a-big-weekly-bonus/ …";;;;"883378389389762561";https://twitter.com/ProVesting/status/883378389389762561
PugTrader;2017-07-07 13:07;0;4;"$ UPS #TRMX pic.twitter.com/dJLWxcX8Z7";;;#TRMX;"883371830320418816";https://twitter.com/PugTrader/status/883371830320418816
MalibuInvest;2017-07-07 13:03;0;0;"$ UPS close to b/o as well...";;;;"883370851793596419";https://twitter.com/MalibuInvest/status/883370851793596419
TheMarketsDaily;2017-07-07 12:21;0;0;"United Parcel Service, Inc. $ UPS Shares Bought by Blue Chip Partners Inc. http:// zpr.io/PdBJY";;;;"883360437458305024";https://twitter.com/TheMarketsDaily/status/883360437458305024
DozenStocks;2017-07-07 11:51;0;0;"S&P100 #Stocks Trend $ GD $ MSFT $ CAT $ FDX $ PCLN $ INTC $ UPS $ FOXA $ MRK $ CMCSA $ HAL $ DOW $ DD $ T $ EMR $ USB $ ALL @http:// 12Stocks.com/sp100";;@http;#Stocks;"883352684039872512";https://twitter.com/DozenStocks/status/883352684039872512
chaffeybreeze;2017-07-07 11:06;0;0;"United Parcel Service, Inc. $ UPS Position Decreased by Intellectus Partners LLC http:// ift.tt/2uyuY73";;;;"883341371444211713";https://twitter.com/chaffeybreeze/status/883341371444211713
IRAMarketReport;2017-07-07 11:03;0;0;"United Parcel Service, Inc. $ UPS Position Decreased by Intellectus Partners LLC http:// ift.tt/2uyuY73";;;;"883340654427996160";https://twitter.com/IRAMarketReport/status/883340654427996160
courierlogi_ser;2017-07-07 10:34;0;0;"#UnitedParcelService : Expands Tuition Assistance Program To Include All Part-Time Employees... Read more: http:// owler.us/acZr2t $ UPS";;;#UnitedParcelService;"883333328270577666";https://twitter.com/courierlogi_ser/status/883333328270577666
IRAMarketReport;2017-07-07 09:47;0;0;"United Parcel Service, Inc. $ UPS Cut to Hold at Zacks Investment Research http:// ift.tt/2tZucmk";;;;"883321577986826240";https://twitter.com/IRAMarketReport/status/883321577986826240
chaffeybreeze;2017-07-07 09:44;0;0;"United Parcel Service, Inc. $ UPS Cut to Hold at Zacks Investment Research http:// ift.tt/2tZucmk";;;;"883320759501934592";https://twitter.com/chaffeybreeze/status/883320759501934592
TradeAcademyCo;2017-07-07 08:49;0;1;"7/7 200D MA Watch List: $ PG $ TLT $ THC $ SYMC $ PANW $ S $ INFY $ AMGN $ MRK $ ETE $ OCLR $ LOW $ UPS $ ZIOP $ XME $ SBUX $ COST $ AIG $ TMUS $ ALXN #trading";;;#trading;"883306912435109888";https://twitter.com/TradeAcademyCo/status/883306912435109888
SPNewsAnalysis;2017-07-07 08:44;0;0;"Mutual of America Capital Management LLC Has $9.06 Million Position in United Parcel Service, Inc. $ UPS http:// ift.tt/2sO0jp1";;;;"883305691406098437";https://twitter.com/SPNewsAnalysis/status/883305691406098437
storminvestor;2017-07-07 08:43;0;0;"Mutual of America Capital Management LLC Has $9.06 Million Position in United Parcel Service, Inc. $ UPS http:// ift.tt/2sU5GOE";;;;"883305395321802753";https://twitter.com/storminvestor/status/883305395321802753
DozenStocks;2017-07-07 06:01;0;0;"Weekly S&P100 #Stocks Trend $ DOW $ DD $ FDX $ MSFT $ CAT $ FOXA $ GD $ PCLN $ CMCSA $ HAL $ INTC $ UPS $ MRK $ USB $ EMR @http:// 12Stocks.com/sp100";;@http;#Stocks;"883264693598527489";https://twitter.com/DozenStocks/status/883264693598527489
TickerReport;2017-07-07 05:12;0;0;"United Parcel Service, Inc. $ UPS Shares Bought by State of Wisconsin Investment Board http:// ift.tt/2to5zy3";;;;"883252419060224001";https://twitter.com/TickerReport/status/883252419060224001
