username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VistaPResearch;2017-07-08 01:40;2;1;"@boxticker thanks for follow! See Vista Partners #Investing #tech #biotech http://www. vistapglobal.com $ MMM $ UTX $ ATOS $ MRK $ DGLT pic.twitter.com/Gkvq6WXU8l";;@boxticker;#Investing #tech #biotech;"883561400303366144";https://twitter.com/VistaPResearch/status/883561400303366144
NewsToDesk;2017-07-08 00:30;0;0;"$ UTX : EQUITY ALERT: Lundin Law PC Announces Securities Class Action …: http://www. StockNewsWires.com/utx-equity-ale rt-lundin-law-pc-announces-securities-class-action/ …";;;;"883543686075699201";https://twitter.com/NewsToDesk/status/883543686075699201
finzine;2017-07-08 00:19;0;0;"$ UTX EQUITY ALERT: Lundin Law PC Announces Securities Class Action Lawsuit against... https:// finance.yahoo.com/news/equity-al ert-lundin-law-pc-040500999.html …";;;;"883541123322523648";https://twitter.com/finzine/status/883541123322523648
intercooleronli;2017-07-07 22:01;0;0;"United Technologies Corporation $ UTX Receives “Hold” Rating from Royal Bank Of Canada http:// ift.tt/2tzq49I";;;;"883506223282356224";https://twitter.com/intercooleronli/status/883506223282356224
RatingsNetwork;2017-07-07 21:26;0;0;"United Technologies Corporation's hold rating reiterated at Royal Bank Of Canada. $125.00 PT. http:// ift.tt/2tWyGtf $ UTX #UTX";;;#UTX;"883497423737425920";https://twitter.com/RatingsNetwork/status/883497423737425920
dailypoliticaln;2017-07-07 21:16;0;0;"United Technologies Corporation $ UTX Stock Rating Reaffirmed by Royal Bank Of Canada http:// ift.tt/2sQcFwA";;;;"883494887471165441";https://twitter.com/dailypoliticaln/status/883494887471165441
dakotafinancial;2017-07-07 21:11;0;0;"United Technologies Corporation $ UTX Stock Rating Reaffirmed by Royal Bank Of Canada http:// ift.tt/2tzwyWb";;;;"883493762130989056";https://twitter.com/dakotafinancial/status/883493762130989056
macroQmicro;2017-07-07 18:57;0;0;"$ UTX above rising T3 10 20 50 & 200 MAs atop both a very tight range 14 day box & tight range 9 week box pic.twitter.com/9fhU6jeXdT";;;;"883460099544625156";https://twitter.com/macroQmicro/status/883460099544625156
finzine;2017-07-07 18:35;0;0;"$ UTX SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors... https:// finance.yahoo.com/news/sharehold er-alert-pomerantz-law-firm-222700836.html …";;;;"883454513994248193";https://twitter.com/finzine/status/883454513994248193
ARatings;2017-07-07 17:33;0;0;"United Technologies Corp Receives a New Rating from Top Analyst $ UTX http://www. analystratings.com/2017/07/07/uni ted-technologies-corp-receives-a-new-rating-from-top-analyst/490555/ …";;;;"883438752500260864";https://twitter.com/ARatings/status/883438752500260864
