username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1MinuteStock;2017-07-08 05:23;0;0;"We calculated 63-day Expected Return of $ V for you: 5.76% https:// unicornbay.com/t/V.US?utm_med ium=tweet&utm_campaign=expreturn&utm_source=twitter …";;;;"883617411672309761";https://twitter.com/1MinuteStock/status/883617411672309761
SwingTradeBot;2017-07-08 05:08;0;0;"$ V technical alerts: Stochastic Buy Signal and Crossed Above 50 DMA https:// swingtradebot.com/equities/V";;;;"883613760153423872";https://twitter.com/SwingTradeBot/status/883613760153423872
ZolmaxNews;2017-07-08 04:36;0;0;"Visa Inc. $ V Shares Bought by Tarbox Group Inc. http:// ift.tt/2tAkSlW";;;;"883605716015222784";https://twitter.com/ZolmaxNews/status/883605716015222784
TickerReport;2017-07-08 04:32;0;0;"Visa Inc. $ V Stake Decreased by Oxbow Advisors LLC http:// ift.tt/2uByA8d";;;;"883604694274322432";https://twitter.com/TickerReport/status/883604694274322432
WatchlistN;2017-07-08 04:32;0;0;"Visa Inc. $ V Position Lowered by Rockefeller Financial Services Inc. http:// ift.tt/2trZdOl";;;;"883604648027971586";https://twitter.com/WatchlistN/status/883604648027971586
emq_news;2017-07-08 04:29;0;0;"Visa Inc. $ V Stake Decreased by Oxbow Advisors LLC http:// ift.tt/2uByA8d";;;;"883603856562819073";https://twitter.com/emq_news/status/883603856562819073
TickerReport;2017-07-08 04:27;0;0;"Visa Inc. $ V Stake Decreased by Oxbow Advisors LLC http:// ift.tt/2tTf1uJ";;;;"883603346308943872";https://twitter.com/TickerReport/status/883603346308943872
SleekMoneycom;2017-07-08 04:26;0;0;"Linscomb & Williams Inc. Has $3.04 Million Stake in Visa Inc. $ V http:// ift.tt/2szXkw6";;;;"883603190729625603";https://twitter.com/SleekMoneycom/status/883603190729625603
dailypoliticaln;2017-07-08 04:26;0;0;"Greenleaf Trust Buys 19,166 Shares of Visa Inc. $ V http:// ift.tt/2sXPhsj";;;;"883603178163494912";https://twitter.com/dailypoliticaln/status/883603178163494912
RiaVlad;2017-07-08 03:33;0;0;"Access any private property in php: class A { private $ v = 10; } $closure = function () { echo $ this ->v; }; $closure->call(new A);";;;;"883589766993891328";https://twitter.com/RiaVlad/status/883589766993891328
Stockerroo;2017-07-08 02:38;0;0;"http:// smq.tc/1LlBEKl SuperAlerts Monthly changed my financial life for the better forever, check it out!! $ V $ P $ AAL $ SWKS $ ITEK";;;;"883575953707814912";https://twitter.com/Stockerroo/status/883575953707814912
1MinuteStock;2017-07-08 02:33;0;0;"Wondering about risks of $ V ? The 21-day volatility is 4.58% https:// unicornbay.com/t/V.US?utm_med ium=tweet&utm_campaign=volatility&utm_source=twitter …";;;;"883574631696707584";https://twitter.com/1MinuteStock/status/883574631696707584
FinInvTr;2017-07-08 01:23;1;0;"Looking Inside The Market’s Most Popular Tech ETF – Worth A Shot At Lofty Prices? $ AAPL $ MSFT $ FB $ GOOG $ GOOGL $ V http:// buff.ly/2sQVW9z";;;;"883557109941534721";https://twitter.com/FinInvTr/status/883557109941534721
