username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TickerReport;2017-07-08 04:27;0;0;"Smith Chas P & Associates PA Cpas Boosts Position in Wells Fargo & Company $ WFC http:// ift.tt/2tTBPKy";;;;"883603355666452481";https://twitter.com/TickerReport/status/883603355666452481
SleekMoneycom;2017-07-08 04:26;0;0;"Wells Fargo & Company $ WFC Shares Bought by Argyle Capital Management Inc. http:// ift.tt/2tT4XSd";;;;"883603210623213568";https://twitter.com/SleekMoneycom/status/883603210623213568
midetimes;2017-07-08 04:26;0;0;"Wells Fargo & Company $ WFC Stake Decreased by Cornerstone Advisors Inc. http:// ift.tt/2uUYYcH";;;;"883603168650825728";https://twitter.com/midetimes/status/883603168650825728
midetimes;2017-07-08 04:26;0;0;"Wells Fargo & Company $ WFC Shares Sold by Meyer Handelman Co. http:// ift.tt/2tWA6Ur";;;;"883603145838002176";https://twitter.com/midetimes/status/883603145838002176
FinInvTr;2017-07-08 01:50;0;0;"Household Names That Have Become Cheap $ APC $ VALE $ WFC $ SPG $ SLB $ PBR $ GS $ HMC http:// buff.ly/2sWmzIf #Ford #Biogen #GM #Amgen #Teva pic.twitter.com/ix43H709Oi";;;#Ford #Biogen #GM #Amgen #Teva;"883563807758594048";https://twitter.com/FinInvTr/status/883563807758594048
Investing_Books;2017-07-08 01:33;1;1;"The Warren Buffett Way by Robert G. Hagstrom: http:// amzn.to/29LoWYE $ KO $ BRK $ PG $ WMT $ AAPL $ WFC $ KHC";;;;"883559756425723904";https://twitter.com/Investing_Books/status/883559756425723904
ZolmaxNews;2017-07-08 01:11;0;0;"Jefferies Group Weighs in on Wells Fargo & Company’s Q2 2017 Earnings $ WFC http:// ift.tt/2u2ehDH";;;;"883554165691215874";https://twitter.com/ZolmaxNews/status/883554165691215874
HedgeBz;2017-07-08 00:30;0;0;"The Perennial Hypocrite Elizabeth Warren calls on Fed to remove Wells Fargo board members $ WFC https:// hedgeaccordingly.com/2017/06/the-pe rennial-hypocrite-elizabeth-warren-calls-on-fed-to-remove-wells-fargo-board-members-wfc.html?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … archived";;;;"883543830431191042";https://twitter.com/HedgeBz/status/883543830431191042
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
PipsToDollars;2017-07-07 22:41;0;4;"WL for next week: M: $ APRN options T: $ PEP $ AMZN PRIME DAY TH: $ DAL F: $ JPM $ C $ WFC $ SAVE $ RTN $ BA pic.twitter.com/ZYUkt0Vyps";;;;"883516451461529601";https://twitter.com/PipsToDollars/status/883516451461529601
Pennystocker1;2017-07-07 21:34;0;0;"New to trading and need to build your trading account FAST? Try my new amazon ebook http:// smq.tc/1L9EqyU $ XLU $ WFC $ BWLD";;;;"883499449028300801";https://twitter.com/Pennystocker1/status/883499449028300801
NACAEvents;2017-07-07 21:05;0;0;"Join the movement to demand accountability from Wells Fargo for their predatory practices! https:// wellsfargojustice.com $ WFC #PredatoryEconomy pic.twitter.com/YUCyoDzXE4";;;#PredatoryEconomy;"883492106962120705";https://twitter.com/NACAEvents/status/883492106962120705
ValueBilbao;2017-07-07 19:41;0;0;"The Next Fang Is JWCB $ WFC http://www. seekingalpha.com/article/4086383";;;;"883470987832020992";https://twitter.com/ValueBilbao/status/883470987832020992
ExactOptionPick;2017-07-07 19:00;0;0;"Don't miss our next FREE OPTION TRADE. Sign up for our Daily Free Trades at http:// ow.ly/6CP930dqfA0 $ NVDA $ TSLA $ GS $ C $ WFC $ GOOGL $ FB";;;;"883460746964873216";https://twitter.com/ExactOptionPick/status/883460746964873216
AlpacaAlerts;2017-07-07 18:51;0;0;"$ WFC is in Dragon Fly Doji winning 75.00% in the past. https:// goo.gl/4qbExT";;;;"883458354164752385";https://twitter.com/AlpacaAlerts/status/883458354164752385
FinInvTr;2017-07-07 18:38;0;1;"Household Names That Have Become Cheap $ APC $ VALE $ WFC $ SPG $ SLB $ PBR $ GS $ HMC http:// buff.ly/2usn3rL";;;;"883455260542586880";https://twitter.com/FinInvTr/status/883455260542586880
JorelLaraKalel;2017-07-07 18:36;0;0;"Jim Cramer Next Week's Game Plan http:// cnb.cx/2sPX7Jr http:// amzn.to/2tVH6RE $ PEP $ AMZN $ GIS $ DAL $ C $ JPM $ WFC pic.twitter.com/XAbrmI6Lg3";;;;"883454719682916356";https://twitter.com/JorelLaraKalel/status/883454719682916356
RaviRomo;2017-07-07 18:22;0;0;"Inside the tense $ AMZN - $ WFC negotiations: How they settled on $42 per share https://www. bizjournals.com/austin/news/20 17/07/07/inside-the-tense-amazon-whole-foods-negotiations.html … DECISIVE No-HAGGLING Bezos $ AMZN";;;;"883451063709212672";https://twitter.com/RaviRomo/status/883451063709212672
OptionsAction;2017-07-07 17:45;4;5;"Big banks kick off earnings season next week. Here are the implied moves for $ JPM $ C $ WFC pic.twitter.com/suVskObTBh";;;;"883441947620323328";https://twitter.com/OptionsAction/status/883441947620323328
GrimesHoldings;2017-07-07 17:43;0;1;"really appreciate the shrinking provisions for credit losses at all major banks $ JPM $ C $ WFC $ BK i'm sure no big loss will ever come again";;;;"883441433247531013";https://twitter.com/GrimesHoldings/status/883441433247531013
royboydc;2017-07-07 17:29;0;0;"The Next Fang Is JWCB https:// seekingalpha.com/article/408638 3-next-fang-jwcb?source=tweet … $ BAC $ BRK.A $ BRK.B $ C $ JPM $ WFC 55.75";;;;"883437908576940032";https://twitter.com/royboydc/status/883437908576940032
RussellTweets4;2017-07-07 17:17;0;0;"$ IMO $ WFC $ V This Watch List tells you about all stocks trading with catalysts and volume URL: http:// bit.ly/2tmroP3 pic.twitter.com/ZTj4vTNPtf";;;;"883434875109376000";https://twitter.com/RussellTweets4/status/883434875109376000
SeekingAlpha;2017-07-07 17:05;1;1;"The Next Fang Is JWCB https:// seekingalpha.com/article/408638 3-next-fang-jwcb?source=feed_f … $ BAC $ BRK.A $ BRK.B $ C $ JPM $ WFC";;;;"883431828152909824";https://twitter.com/SeekingAlpha/status/883431828152909824
bdnews24;2017-07-07 17:03;0;0;"YahooFinance: Wells Fargo creates new 'stakeholder' group https:// yhoo.it/2uzjIr0 $ WFC pic.twitter.com/qAxYL3NxtY https:// twitter.com/YahooFinance/s tatus/883429180108681222 …";;;;"883431359045398529";https://twitter.com/bdnews24/status/883431359045398529
serge_poznanski;2017-07-07 16:58;0;0;"YahooFinance: Wells Fargo creates new 'stakeholder' group https:// yhoo.it/2uzjIr0 $ WFC pic.twitter.com/GhxTqWV0z3";;;;"883430099734888448";https://twitter.com/serge_poznanski/status/883430099734888448
YahooFinance;2017-07-07 16:55;7;8;"Wells Fargo creates new 'stakeholder' group https:// yhoo.it/2uzjIr0 $ WFC pic.twitter.com/btg4m6TsrY";;;;"883429180108681222";https://twitter.com/YahooFinance/status/883429180108681222
