username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TickerReport;2017-07-07 15:07;0;0;"Reviewing Graphic Packaging Holding Company $ GPK & Westrock Company $ WRK http:// ift.tt/2uzzsu8";;;;"883402143532630018";https://twitter.com/TickerReport/status/883402143532630018
emq_news;2017-07-07 15:04;0;0;"Reviewing Graphic Packaging Holding Company $ GPK & Westrock Company $ WRK http:// ift.tt/2uzzsu8";;;;"883401366990802944";https://twitter.com/emq_news/status/883401366990802944
IRAMarketReport;2017-07-07 15:02;0;0;"Reviewing Graphic Packaging Holding Company $ GPK & Westrock Company $ WRK http:// ift.tt/2u0O20G";;;;"883400925078994944";https://twitter.com/IRAMarketReport/status/883400925078994944
TickerReport;2017-07-07 15:02;0;0;"Reviewing Graphic Packaging Holding Company $ GPK & Westrock Company $ WRK http:// ift.tt/2sOYt7o";;;;"883400890450812928";https://twitter.com/TickerReport/status/883400890450812928
chaffeybreeze;2017-07-07 14:59;0;0;"Reviewing Graphic Packaging Holding Company $ GPK & Westrock Company $ WRK http:// ift.tt/2u0O20G";;;;"883400175846211590";https://twitter.com/chaffeybreeze/status/883400175846211590
chaffeybreeze;2017-07-07 13:14;0;0;"Public Employees Retirement System of Ohio Has $6,017,000 Position in Westrock Company $ WRK http:// ift.tt/2sVsQEp";;;;"883373698316677120";https://twitter.com/chaffeybreeze/status/883373698316677120
emq_news;2017-07-07 10:04;0;0;"Nomura Asset Management Co. Ltd. Decreases Position in Westrock Company $ WRK http:// ift.tt/2sUrOZ4";;;;"883325907062190080";https://twitter.com/emq_news/status/883325907062190080
TickerReport;2017-07-07 10:02;0;0;"Nomura Asset Management Co. Ltd. Decreases Position in Westrock Company $ WRK http:// ift.tt/2sUrOZ4";;;;"883325428169101312";https://twitter.com/TickerReport/status/883325428169101312
TickerReport;2017-07-07 09:57;0;0;"Nomura Asset Management Co. Ltd. Decreases Position in Westrock Company $ WRK http:// ift.tt/2tZDPl4";;;;"883324213712605185";https://twitter.com/TickerReport/status/883324213712605185
SmallTraderz;2017-07-07 09:38;0;0;"http:// smq.tc/2byhce4 << Try top stock and ETF trade alerts FREE TRIAL, world class!! $ WRK $ KS $ OCN";;;;"883319283320725504";https://twitter.com/SmallTraderz/status/883319283320725504
TheMarketsDaily;2017-07-07 09:20;0;0;"Westrock Company $ WRK Shares Bought by Teachers Advisors LLC http:// zpr.io/PdVaj";;;;"883314850537066498";https://twitter.com/TheMarketsDaily/status/883314850537066498
SmallTraderz;2017-07-06 22:21;0;0;"http:// smq.tc/2byhce4 << Try top stock and ETF trade alerts FREE TRIAL, world class!!! $ WRK $ KS $ twtr";;;;"883148914206978048";https://twitter.com/SmallTraderz/status/883148914206978048
SmallTraderz;2017-07-06 12:38;0;0;"http:// smq.tc/2byjlH0 < FREE VIDEO LESSON from top trader Jeff Williams! $ WRK $ SPGI $ XPO";;;;"883002188561174528";https://twitter.com/SmallTraderz/status/883002188561174528
dailymailtimes;2017-07-06 08:51;0;0;"Stifel Financial Corp Has $260,000 Position in Westrock Company $ WRK http:// ift.tt/2uu41RY";;;;"882945204034166784";https://twitter.com/dailymailtimes/status/882945204034166784
intercooleronli;2017-07-06 07:04;0;0;"Investment Analysts’ Weekly Ratings Changes for Westrock Company $ WRK http:// ift.tt/2uNuY2h";;;;"882918068690747393";https://twitter.com/intercooleronli/status/882918068690747393
WatchlistN;2017-07-06 01:30;0;0;"Investment Analysts’ Weekly Ratings Changes for Westrock Company $ WRK http:// ift.tt/2sOUgvp";;;;"882834189544038401";https://twitter.com/WatchlistN/status/882834189544038401
SPNewsAnalysis;2017-07-05 12:39;0;0;"Westrock Company $ WRK versus Graphic Packaging Holding Company $ GPK Financial Survey http:// ift.tt/2tqca9U";;;;"882640086856335362";https://twitter.com/SPNewsAnalysis/status/882640086856335362
SleekMoneycom;2017-07-05 11:52;0;0;"Westrock Company $ WRK Getting Favorable Press Coverage, Report Finds http:// ift.tt/2upMha7";;;;"882628311008124928";https://twitter.com/SleekMoneycom/status/882628311008124928
WatchlistN;2017-07-05 11:25;0;0;"Highbridge Capital Management LLC Raises Stake in Westrock Company $ WRK http:// ift.tt/2tQU1oA";;;;"882621409918410753";https://twitter.com/WatchlistN/status/882621409918410753
midetimes;2017-07-05 10:41;0;0;"Westrock Company $ WRK Position Raised by FNY Partners Fund LP http:// ift.tt/2sG5zLl";;;;"882610420850274309";https://twitter.com/midetimes/status/882610420850274309
StockTradePicks;2017-07-05 09:53;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ WRK $ MBI $ ICLD $ CDNS $ BIOS $ AWF $ APVO $ PERI $ ITOT $ CDXC";;;;"882598372397285376";https://twitter.com/StockTradePicks/status/882598372397285376
FinInvTr;2017-07-05 07:52;0;0;"Market's Best Dividend Fund - What's In It? $ XLNX $ TROW $ KLAC $ BBY $ RSG $ CTL $ ETR $ GPC $ AEE $ WRK $ MXIM $ HBAN $ NLSN http:// buff.ly/2tfirq8 pic.twitter.com/JCMvtEKGuK";;;;"882567754657792000";https://twitter.com/FinInvTr/status/882567754657792000
RatingsNetwork;2017-07-05 07:22;0;0;"Get the latest news and updates for $ STR $ ACIW $ WRK $ MRTN $ IVTY automatically with MarketBeat Daily http:// bit.ly/arndailyw";;;;"882560224493809664";https://twitter.com/RatingsNetwork/status/882560224493809664
emq_news;2017-07-05 06:08;0;0;"Westrock Company $ WRK Receives Hold Rating from KeyCorp http:// ift.tt/2spcNzd";;;;"882541682956414976";https://twitter.com/emq_news/status/882541682956414976
SmallTraderz;2017-07-05 04:37;0;0;"http:// smq.tc/2byhce4 << Try top stock and ETF trade alerts FREE TRIAL, world class!! $ WRK $ KS $ OCN";;;;"882518715656355840";https://twitter.com/SmallTraderz/status/882518715656355840
FinInvTr;2017-07-04 22:26;0;0;"Market's Best Dividend Fund - What's In It? $ XLNX $ TROW $ KLAC $ BBY $ RSG $ CTL $ ETR $ GPC $ AEE $ WRK $ MXIM $ HBAN $ NLSN http:// buff.ly/2tOKrTm";;;;"882425364840108032";https://twitter.com/FinInvTr/status/882425364840108032
TheMarketsDaily;2017-07-04 13:47;0;0;"Nuveen Asset Management LLC Sells 51,390 Shares of Westrock Company $ WRK http:// zpr.io/PduCc";;;;"882294701558288384";https://twitter.com/TheMarketsDaily/status/882294701558288384
chaffeybreeze;2017-07-04 11:54;0;0;"UBS Oconnor LLC Boosts Position in Westrock Company $ WRK http:// ift.tt/2sIRNTn";;;;"882266430825279489";https://twitter.com/chaffeybreeze/status/882266430825279489
TheMarketsDaily;2017-07-04 11:49;0;0;"Park National Corp OH Has $1,757,000 Stake in Westrock Company $ WRK http:// zpr.io/PdK5z";;;;"882265227592691712";https://twitter.com/TheMarketsDaily/status/882265227592691712
IRAMarketReport;2017-07-04 11:49;0;0;"UBS Oconnor LLC Boosts Position in Westrock Company $ WRK http:// ift.tt/2sIRNTn";;;;"882265087154814977";https://twitter.com/IRAMarketReport/status/882265087154814977
emq_news;2017-07-04 10:08;0;0;"UBS Oconnor LLC Boosts Position in Westrock Company $ WRK http:// ift.tt/2uG9Rih";;;;"882239722646622208";https://twitter.com/emq_news/status/882239722646622208
TickerReport;2017-07-04 10:03;0;0;"Nuveen Asset Management LLC Sells 51,390 Shares of Westrock Company $ WRK http:// ift.tt/2sIDgH9";;;;"882238411800797184";https://twitter.com/TickerReport/status/882238411800797184
dailymailtimes;2017-07-04 07:36;0;0;"Westrock Company’s $ WRK Hold Rating Reiterated at KeyCorp http:// ift.tt/2tMriRV";;;;"882201571785920513";https://twitter.com/dailymailtimes/status/882201571785920513
