username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AMElolzz;2017-07-08 03:10;0;0;"Is $ ELED less than $4k to a 50p% gain? YES. $ VRX $ KR $ CHRO $ BABA $ GOOGL $ CVX $ GE $ XOM $ F $ FRO $ FB $ JNJ $ BP $IBM… https:// twitter.com/i/web/status/8 83340106404438016 …";;;;"883583988580978688";https://twitter.com/AMElolzz/status/883583988580978688
PennyStockZone2;2017-07-08 01:58;0;0;"http:// smq.tc/1GEVz5M <-- Here is my review of Super Alerts on @profitly stock picking service $ GASL $ OAS $ XOM $ IDTI";;@profitly;;"883565899084480512";https://twitter.com/PennyStockZone2/status/883565899084480512
RatingsNetwork;2017-07-08 01:51;0;0;"Exxon Mobil Corporation upgraded by Vetr Inc. to strong-buy. $89.82 PT. http:// ift.tt/2uUEv7t $ XOM #XOM";;;#XOM;"883564187523403776";https://twitter.com/RatingsNetwork/status/883564187523403776
Money2Tai;2017-07-08 01:47;0;0;"http:// bit.ly/1VvJJhE < Millionaire traders FREE TRIAL to his stock trading strategy.. $ XOM $ IBB $ SPY";;;;"883563124967604224";https://twitter.com/Money2Tai/status/883563124967604224
finzine;2017-07-08 01:38;0;0;"$ XOM Passive Investors Are the New Shareholder Activists http:// finance.yahoo.com/r/21051d4c-b6a f-3560-af56-7c335b058cb2/passive-investors-are-the-new-shareholder-activists-1499491673 …";;;;"883560787473838080";https://twitter.com/finzine/status/883560787473838080
Zerstaubung;2017-07-08 00:53;0;0;"Gutentages enjoy Trump @AliVelshi @StateDept @ShellMotorsport $ xom";;@AliVelshi @StateDept @ShellMotorsport;;"883549700770545665";https://twitter.com/Zerstaubung/status/883549700770545665
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
TrackerLed;2017-07-07 23:40;0;0;"http:// smq.tc/1VvJJhE < Stock Trading Watch List/Chat/Educational Alerts *FREE TRIAL! $ XLF $ FB $ XOM $ DDC";;;;"883531317790425094";https://twitter.com/TrackerLed/status/883531317790425094
OilSandsMag;2017-07-07 23:00;0;0;"Tons of upgrades/downgrades in the energy patch this week. And plenty of lower price targets: http:// bit.ly/2qsvG2U $ ECA $ IMO $ MRO $ XOM pic.twitter.com/oPPu9FtVx9";;;;"883521113418080256";https://twitter.com/OilSandsMag/status/883521113418080256
G11Jen;2017-07-07 20:01;1;0;"Aww! wonder how it will effect LNG :) Oil prices plunge 3% signs of oversupplied market persist https:// seekingalpha.com/news/3277491-o il-prices-plunge-3-percent-signs-oversupplied-market-persist?source=tweet … $ XOM $ CVX $ RDS.A $ BP";;;;"883476176374644736";https://twitter.com/G11Jen/status/883476176374644736
TraceyRyniec;2017-07-07 19:50;1;3;"Do you know where the oil insiders are buying? Find out. $ XOM $ CVX $ EOG $ APA $ SM $ SRCI $ WLL $ OXY $ CLR $ PXD https:// soundcloud.com/zacks-investme nt-research/insiders-are-buying-oil-stocks?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …";;;;"883473231780470784";https://twitter.com/TraceyRyniec/status/883473231780470784
FinInvTr;2017-07-07 19:17;1;0;"Why Is Half The Dow Struggling? $ INTC $ XOM $ IBM $ JPM $ GS $ CVX $ DIS $ VZ $ PFE $ DIA http:// buff.ly/2uODqyf";;;;"883465058227040256";https://twitter.com/FinInvTr/status/883465058227040256
Sw1ng_Trader;2017-07-07 19:14;0;0;"http:// smq.tc/1GEVz5M <-- Here is my review of Super Alerts on @profitly stock picking service $ GASL $ OAS $ XOM $ IDTI";;@profitly;;"883464215889035264";https://twitter.com/Sw1ng_Trader/status/883464215889035264
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
mark_hruska;2017-07-07 17:52;0;1;"Short $ UWT $ OIL $ USO $ UCO $ SCO $ DWT $ GUSH $ DRIP $ XLE $ CHK $ PBR $ WFT $ SWN $ WLL $ MRO $ RIG $ KMI $ XOM $ BP $ COP $ SLB $ OXY $ HAL $ XOP #OIL #CRUDE pic.twitter.com/QlzSPOmqeU";;;#OIL #CRUDE;"883443519276429312";https://twitter.com/mark_hruska/status/883443519276429312
Master_Charts;2017-07-07 17:49;1;0;"How close is $ XLE to 52-week lows? Very close - avoid! https:// stockcharts.com/public/1229503 /chartbook/510657411 … ; $ ERY $ ERX $ XOM $ CVX pic.twitter.com/UhVeJ2d8F9";;;;"883442761818681344";https://twitter.com/Master_Charts/status/883442761818681344
MC_OptionTrades;2017-07-07 17:45;0;0;"$ XOM 28-Jul-17 ATM Implied Volatility is up +3.1% to 16.5. Straddle implies a move of ±3.2%. Earnings Jul 28BMO. http:// tinyurl.com/y8zoe83k";;;;"883441994810490881";https://twitter.com/MC_OptionTrades/status/883441994810490881
storminvestor;2017-07-07 17:22;0;0;"Capital Investment Advisors LLC Boosts Stake in Exxon Mobil Corporation $ XOM http:// ift.tt/2sWfc3P";;;;"883436156670619648";https://twitter.com/storminvestor/status/883436156670619648
IRAMarketReport;2017-07-07 17:22;0;0;"Exxon Mobil Corporation $ XOM Getting Positive Media Coverage, Accern Reports http:// ift.tt/2uA4QbM";;;;"883436106473246720";https://twitter.com/IRAMarketReport/status/883436106473246720
chaffeybreeze;2017-07-07 17:19;0;0;"Exxon Mobil Corporation $ XOM Getting Positive Media Coverage, Accern Reports http:// ift.tt/2uA4QbM";;;;"883435420360613892";https://twitter.com/chaffeybreeze/status/883435420360613892
OptionsMaxPain;2017-07-07 16:59;0;0;"#Options #maxpain chart for $ XOM . Free options app http://www. mystockstation.com / pic.twitter.com/cJ7CeWqXNM";;;#Options #maxpain;"883430334385324032";https://twitter.com/OptionsMaxPain/status/883430334385324032
ProTradersNews;2017-07-07 16:47;0;0;"$ SMLP $ XOM : Woodlands-based midstream co., Exxon’s XTO Energy strike deal …: http://www. StockNewsWires.com/smlp-xom-woodl ands-based-midstream-co-exxons-xto-energy-strike-deal/ …";;;;"883427154637111296";https://twitter.com/ProTradersNews/status/883427154637111296
TheMarketsDaily;2017-07-07 16:29;0;0;"Exxon Mobil Corporation $ XOM Downgraded by Royal Bank Of Canada to “Sector Perform” http:// zpr.io/PdQTq";;;;"883422740727902208";https://twitter.com/TheMarketsDaily/status/883422740727902208
Traderific;2017-07-07 16:26;0;0;"SELL $ XOM 80.21. More stock tips & details at: http://www. traderific.com/?date=2017-07- 07 …";;;;"883421898440417282";https://twitter.com/Traderific/status/883421898440417282
deepxdive;2017-07-07 16:23;0;0;"$ XOM Exxon Mobil Corp. – Value Analysis (NYSE XOM) July 5, 2017 https:// online.capitalcube.com/#!/stock/US/ex change/XOM/investment-analysis … pic.twitter.com/33haS21Jz1";;;#;"883421145688625155";https://twitter.com/deepxdive/status/883421145688625155
ITRADEVOL;2017-07-07 16:22;0;0;"Buy Side Closing Order Imbalances $ EQT $ GE $ CF $ VZ $ JPM $ XOM $ EXC $ EGN $ TGNA $ K $ KO $ DNR $ SLB $ AWH $ DOW $ FDC $ OKE https:// marketchameleon.com/Reports/StockO rderImbalanceReport …";;;;"883421007461187589";https://twitter.com/ITRADEVOL/status/883421007461187589
ClarkDeShark;2017-07-07 16:12;0;0;"I think I'd include $ XOM in that list too.";;;;"883418394728550401";https://twitter.com/ClarkDeShark/status/883418394728550401
ClarkDeShark;2017-07-07 16:12;0;0;"I hope you're right.$SLB $ VLO $ PAA and I think I'd include $ XOM in that list too. https:// twitter.com/themotleyfool/ status/882772350877487104 …";;;;"883418348943552512";https://twitter.com/ClarkDeShark/status/883418348943552512
Breaking_Source;2017-07-07 15:55;0;1;"Energy dip buyers this morning already getting paid. $ XOM $ XLE $ CVX $ MRO $ CHK you have to own this sector as big funds pouring in";;;;"883414177728954368";https://twitter.com/Breaking_Source/status/883414177728954368
STRATTrading;2017-07-07 15:40;0;0;"$ XOM really been chopping in a $3 range since February - don't know what is next but a lot of big $ CL_F moves has happened in that time pic.twitter.com/mTFj5xdrFG";;;;"883410365341716481";https://twitter.com/STRATTrading/status/883410365341716481
SpeedyCalls;2017-07-07 15:40;1;2;"$ XOM 80 Puts BUYING Activity expiring on 21st Jul, Vol 5000";;;;"883410327349731328";https://twitter.com/SpeedyCalls/status/883410327349731328
IRAMarketReport;2017-07-07 15:27;0;0;"Exxon Mobil Corporation’s $ XOM “Market Perform” Rating Reaffirmed at Wells Fargo & Company http:// ift.tt/2tVr2iE";;;;"883407227675181056";https://twitter.com/IRAMarketReport/status/883407227675181056
JustinPulitzer;2017-07-07 15:25;0;4;"$ XOM defended $80 again… I’m sure option pinning had nothing to do with that (wink, wink)… but it has none the less. $ CL_F $ XLE";;;;"883406681828405248";https://twitter.com/JustinPulitzer/status/883406681828405248
chaffeybreeze;2017-07-07 15:24;0;0;"Exxon Mobil Corporation’s $ XOM “Market Perform” Rating Reaffirmed at Wells Fargo & Company http:// ift.tt/2tVr2iE";;;;"883406371273793536";https://twitter.com/chaffeybreeze/status/883406371273793536
mktearlybird;2017-07-07 15:20;0;0;"Missed this $ XOM story from @MalcolmNance ? : RT @emptywheel : Exxon guy. Not a fan of democracy. Go figu... #Stocks https:// twitter.com/username/statu s/883396178804473856 …";;@MalcolmNance @emptywheel;#Stocks;"883405484933369859";https://twitter.com/mktearlybird/status/883405484933369859
finzine;2017-07-07 14:34;0;0;"$ XOM Trump confronts Putin on election hacking in first meeting http:// finance.yahoo.com/r/b4016e5e-306 3-30bb-bc1b-bfa0e537da3e/trump-confronts-putin-election-hacking-174715912.html …";;;;"883393858616176643";https://twitter.com/finzine/status/883393858616176643
TheMarketsDaily;2017-07-07 14:31;0;0;"Cohen Capital Management Inc. Raises Stake in Exxon Mobil Corporation $ XOM http:// zpr.io/PdW9u";;;;"883393089464750080";https://twitter.com/TheMarketsDaily/status/883393089464750080
finzine;2017-07-07 14:22;0;0;"$ XOM Trump confronts Putin on election hacking in first meeting https:// finance.yahoo.com/news/trump-con fronts-putin-election-hacking-174715912.html …";;;;"883390759126183936";https://twitter.com/finzine/status/883390759126183936
PennyStockZone2;2017-07-07 14:16;0;0;"http:// smq.tc/1GEVz5M <-- Here is my review of Super Alerts on @profitly stock picking service $ GASL $ OAS $ XOM $ IDTI";;@profitly;;"883389226254913536";https://twitter.com/PennyStockZone2/status/883389226254913536
StockMonger;2017-07-07 14:15;0;0;"Remarkable resilience in $ XOM to defy the $ USO bleeding. This will make its P/E even more expensive. Shorting with tiny put buy. pic.twitter.com/J0NfOX1BGp";;;;"883389001356496899";https://twitter.com/StockMonger/status/883389001356496899
SleekMoneycom;2017-07-07 14:11;0;0;"Exxon Mobil Corporation $ XOM Downgraded by Royal Bank Of Canada to “Sector Perform” http:// ift.tt/2uzlsAx";;;;"883387934686273537";https://twitter.com/SleekMoneycom/status/883387934686273537
MarkasBKoke;2017-07-07 13:54;0;0;"Rex received the "best-buddy" medal from Putin while he was the #CEO of $ XOM is now explaining to us how we all can b best-buddies. #Cmonman";;;#CEO #Cmonman;"883383669640929280";https://twitter.com/MarkasBKoke/status/883383669640929280
FilmProfessor9;2017-07-07 13:51;0;0;"@NotaBubble $ GILD behaving just like $ XOM these days on price movements . Every time I get out - They keep pulling me back in.";;@NotaBubble;;"883383022330032130";https://twitter.com/FilmProfessor9/status/883383022330032130
TimmyTrader1;2017-07-07 13:44;0;0;"http:// smq.tc/1VvJJhE < FREE TRIAL stock alerts - Jason Bond has created another millionaire trader. $ xlk $ xlp $ xom";;;;"883381182422962176";https://twitter.com/TimmyTrader1/status/883381182422962176
STRATTrading;2017-07-07 13:41;0;0;"Of NOTE - $ XOM flat on the day, seems tired on the downside";;;;"883380483039670272";https://twitter.com/STRATTrading/status/883380483039670272
TalkMarkets;2017-07-07 13:22;0;0;"#GenesisEnergy : Huge 9% #Dividend Yield Is Attractive, But Weak Coverage A Concern $ GEL Also $ XOM https:// goo.gl/4bFr69";;;#GenesisEnergy #Dividend;"883375726623420417";https://twitter.com/TalkMarkets/status/883375726623420417
SureDividend;2017-07-07 13:22;0;0;"Genesis Energy: Huge 9% Dividend Yield Is Attractive, But Weak Coverage A Concern $ GEL Also $ XOM https:// goo.gl/4bFr69";;;;"883375683631755265";https://twitter.com/SureDividend/status/883375683631755265
JDBlum23;2017-07-07 13:20;0;0;"Summit partners with #Exxon Mobil on #Permian pipelines http://www. chron.com/business/energ y/article/Summit-partners-with-Exxon-Mobil-on-Permian-11272879.php?cmpid=twitter-desktop … via @houstonchron $ XOM #XTO";;@houstonchron;#Exxon #Permian #XTO;"883375122018598912";https://twitter.com/JDBlum23/status/883375122018598912
