username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TravelTrader1;2017-07-07 18:08;0;0;"http:// smq.tc/1VvJJhE < FREE TRIAL in millionaire stock traders top rated chatroom + alerts.! $ AVGO $ SMH $ CIEN";;;;"883447618029760512";https://twitter.com/TravelTrader1/status/883447618029760512
FinInvTr;2017-07-07 17:55;0;0;"Top Long-Term Gainers In Tech $ AAPL $ GOOG $ FB $ AVGO $ HIMX $ MU $ NVDA $ TSLA $ CRM http:// buff.ly/2tTaZCY";;;;"883444344795140097";https://twitter.com/FinInvTr/status/883444344795140097
TheMarketsDaily;2017-07-07 17:37;0;0;"43,257 Shares in Broadcom Limited $ AVGO Acquired by Chescapmanager LLC http:// zpr.io/PdQFc";;;;"883439905011060736";https://twitter.com/TheMarketsDaily/status/883439905011060736
jewalker_nuke;2017-07-07 16:43;1;2;"Pos (7/7/17) H/L $ BA $ CELG $ AMZN $ GOOGL $ AVGO $ MCD $ OLED $ AAPL $ FB $ VRTX $ NVDA $ RTN $ NFLX $ CVX $ GM $ BABA $ ANSS $ ALB $ WMT $ KSU $ MTSI Cash11%.";;;;"883426243315605505";https://twitter.com/jewalker_nuke/status/883426243315605505
IRAMarketReport;2017-07-07 16:43;0;0;"KCG Holdings Inc. Increases Position in Broadcom Limited $ AVGO http:// ift.tt/2tVvz4C";;;;"883426184771534850";https://twitter.com/IRAMarketReport/status/883426184771534850
chaffeybreeze;2017-07-07 16:39;0;0;"KCG Holdings Inc. Increases Position in Broadcom Limited $ AVGO http:// ift.tt/2tVvz4C";;;;"883425236049424384";https://twitter.com/chaffeybreeze/status/883425236049424384
dexoidan;2017-07-07 16:22;0;0;"$ AVGO Todays trading with Broadcom Limited for $239.62 on date July 07, 2017. #Finance";;;#Finance;"883420943770693632";https://twitter.com/dexoidan/status/883420943770693632
TheLoyalTen;2017-07-07 15:48;0;0;"$ AVGO bounces $12/sh in 2 days, now 50ma...";;;;"883412439890444289";https://twitter.com/TheLoyalTen/status/883412439890444289
Options_Addict;2017-07-07 15:45;0;0;"$ AVGO calls active. @239";;@239;;"883411774049071105";https://twitter.com/Options_Addict/status/883411774049071105
jimcramer;2017-07-07 14:56;2;24;"$ NVDA back in the hunt.. $ AVGO , which club members bought this week, on fire.. http://www. actionalertsplus.com club that is";;;;"883399420548587523";https://twitter.com/jimcramer/status/883399420548587523
StockWebTrading;2017-07-07 14:55;1;0;"QQQTradingTip’s Results: $ AVGO opened LONG on 7/6 at $227.56 and closed today at $239.00 +5.03% ( http://www. qqqtradingtips.com ) $ QQQ $ DJIA $ SPY pic.twitter.com/0Og6p36WWS";;;;"883399087784984577";https://twitter.com/StockWebTrading/status/883399087784984577
LotteryClubs;2017-07-07 13:45;0;0;"$ AVGO Top and will roll over $208 in couple wks";;;;"883381423297753088";https://twitter.com/LotteryClubs/status/883381423297753088
canuck2usa;2017-07-07 13:44;0;4;"$ AVGO sick rotation off 21sma weekly";;;;"883381310101741568";https://twitter.com/canuck2usa/status/883381310101741568
newbieHH;2017-07-07 13:15;0;0;"http:// prntscr.com/fsvs0l $ AVGO D";;;;"883373991804772353";https://twitter.com/newbieHH/status/883373991804772353
JorelLaraKalel;2017-07-07 13:09;0;1;"7 Stocks to Buy Before Their Earnings Breakout $ AAOI $ AMAT $ AVGO $ LRCX $ MKSI $ WB $ WDC https:// yhoo.it/2tVa57X http:// bit.ly/2BABAWB";;;;"883372449852796928";https://twitter.com/JorelLaraKalel/status/883372449852796928
newswithvalue;2017-07-07 12:55;0;0;"$ SSNLF $ AAPL $ SWKS $ QRVO $ AVGO : Samsung’s Strong Guidance Reflects More Than Just How the …: http://www. StockNewsWires.com/ssnlf-aapl-swk s-qrvo-avgo-samsungs-strong-guidance-reflects-more-than-just-how-the/ …";;;;"883368783963869184";https://twitter.com/newswithvalue/status/883368783963869184
15minofPham;2017-07-07 12:52;0;0;"Mid-day TOP of range: $ JNPR 100, $ PHG 97, $ MSFT 96, $ AVGO $ DHI $ ORCL 95, $ AAPL 94, $ MCD $ TXN 93, $ AAOI $ NFLX 92";;;;"883368207272300544";https://twitter.com/15minofPham/status/883368207272300544
ASAP17;2017-07-07 12:41;0;0;"thanks for your work here man. $ avgo continues to hit my scanners as well. Bulls haven't had enough yet.";;;;"883365385919094784";https://twitter.com/ASAP17/status/883365385919094784
RossPork;2017-07-07 12:41;0;0;"http:// bit.ly/1VvJJhE < Try this multimillionaire traders chatroom and alerts for $49! $ COP $ AVGO $ LULU";;;;"883365304595697664";https://twitter.com/RossPork/status/883365304595697664
DKOptions;2017-07-07 12:36;0;2;"$ AVGO Aug 4 W 250/260 1x2 call ratio trades (1500x3000), lot of bullish flow here within the last 3-4 weeks";;;;"883364171034877952";https://twitter.com/DKOptions/status/883364171034877952
